Name,Membership,Category,Description,Address,City,Province,telp1,telp2,telp3
CV Bangkit Jaya Sealindo,"
PREMIUM RUBY
",Buldozer & Excavator,"
              CV Bangkit Jaya Sealindo adalah suppier Mechanical Seal yang sudah berpengalaman dalam dunia ini.Kami spesialis dalam pembuatan MECHANICAL SEAL dan Seal custom lainnya, dapat membuat Mechanical Saeal / Seal sesuai contoh dan sesuai request yang diinginkan.            ","
              Komplek Ruko Kosambi Megah Blok A/34 kelurahan Jati Mulya Kecamatan kosambi kabupaten Tanggerang Banten 15211            ",Tanggerang,Banten,+81 3-5300-5500,None,None
PT Banyoe Atika Mandiri,"
                                    PREMIUM GOLD
                                ",Buldozer & Excavator,"
              Perusahaan Kami bergerak di bidang Industri Pengecoran logam :Kami Jual atau Supplier, cast iron, aluminium, kuningan dan stainless steel. Produk - produk yang di hasilkan di antaranya : manhole, grill, greating, dack drain, roof drain, floor drain, Grease Trap, dan juga Perusahaan Kami siap menerima pesanan khusus, dengan harga bersaing. Hubungi Kami : m : + 628118833662t : + 6221-22524647 f : + 6221-22524541 e : info@banyoe.co.id            ","
              RUKAN CBD BLOK C NO.75A GREEND LAKE CITY            ",Tangerang,Banten,+62 811-8833-662,None,None
CV. Artha Kharisma,"
PREMIUM BLUE ONYX
",Buldozer & Excavator,"
Artha Kharisma adalah sebuah perusahaan yang bergerak di bidang jual beli dan jasa rental alat berat seperti Excavator, Bulldozer, Grader, Loader, Truck, Vibro, Crane, dan Truck. Semua alat berat kami sediakan dalam keadaan sehat dan siap untuk digunakan. Selain itu kami juga menyediakan berbagai tipe dan merk alat berat seperti Komatsu, Kobelco, Hitachi, Caterpillar, Sakai, Mitsubishi, Zoomlion, dan Kato. Untuk info lebih lanjut mengenai unit kami bisa langsung mengunjungi workshop kami di Jalan Sidotopo Kidul 61 Surabaya (Artha Kharisma) atau hubungi WA Kami di 0813-3181-2666 (Ibu Vivi) ","
              Jl. Sidotopo Kidul 61 Surabaya            ",Surabaya,Jawa Timur,+62 813-3181-2666,None,None
PT. Rajawali Trans Logistic,"
                                    PREMIUM GOLD
                                ",Buldozer & Excavator,"
PT RAJAWALI TRANS LOGISTICS adalah Perusahaan pengiriman barang domestik swasta yang telah berdiri dan berpengalaman lebih dari 5 tahun. Sebagai penyedia jasa pengiriman barang yang berpengalaman, kami memberikan solusi total rantai pasokan untuk kebutuhan logistik dan manajemen pengiriman (mis. Layanan Door to Door, Pengangkutan, dokumen Pengiriman Barang, dll.)
 
Kami menawarkan semua jenis layanan pengiriman barang di Indonesia, serta transportasi laut internasional. Kami menawarkan solusi transportasi yang disesuaikan dengan kebutuhan dengan harga pasar yang kompetitif. Kepuasan pelanggan adalah prioritas utama kami, kami sangat berkomitmen untuk mencakup seluruh rantai pasokan dengan solusi pengiriman yang dipersonalisasi dan hemat biaya. Kami memastikan bahwa barang Anda sampai di tujuan dengan aman dan dengan harga terbaik. Semuanya diatur oleh tim profesional bermotivasi tinggi dengan latar belakang logistik yang luas. Jadi jika Anda berencana untuk mengekspor atau mengimpor barang dan sedang mencari perusahaan ekspedisi dengan pengalaman dan pengetahuan yang luas tentang peraturan bea cukai di Indonesia, jangan ragu untuk menghubungi kami untuk membantu Anda dalam operasi logistik.
 

TIM KITA
Di PT RAJAWALI TRANS LOGISTICS, kami selalu bekerja dengan hati-hati dalam memilih pribadi yang tepat, berpengalaman, dan sangat terlatih untuk mengelola dan menangani bisnis Anda dengan benar.
 
PENGLIHATAN
Menjadi perusahaan jasa pengiriman dan logistik multinasional di Indonesia.
 
MISI
Membantu pelanggan dalam mengirimkan barang dengan layanan yang sangat baik dan tepat waktu. Dipenuhi dengan tenaga manusia yang andal, transportasi unit tepat waktu, dan harga terjangkau.
 
TAGLINE
“ KEPUASAN PELANGGAN ADALAH HARGA TETAP ”
 
 
JASA
- Door To Door Project Cargo
- Kargo umum
- Wadah
- Kargo Proyek (mis. Minyak & Gas, Infrastruktur, Proyek Pipa, Semen, dll.)
- Heavylifts dan Turnkey Projects
- Izin Kustom
- Shore Crane, Forklift, dan Unit Medis Lainnya
- Bongkar muat
 
PELANGGAN KAMI
- WIJAYA KARYA, TBK.
- WIKA BETON, TBK.
- ADHI KARYA, TBK.
- WASKITA KARYA, TBK.
- ADHIMIX PRECAST INDONESIA
- STEEL PIPE INDUSTRY INDONESIA (SPINDO)
- PETROWOOD BANGUN MANDIRI
- PENGIRIMAN ADITYA ARYAPRAWIRA
- LAYANAN PEROLEUM HUABEI
- DLL
 
HUBUNGI KAMI
- Jln. Perak Barat No. 171 Surabaya
- (031) 3288-7007-10 / 0813-3250-5800
- rajawalilogistic@gmail.com ","
              KANTOR PUSAT (SURABAYA)📍 Jln. Perak Barat No. 171 SurabayaPHONE / WHATSAPP☎️ 0813-3250-5800—            ",SURABAYA,Jawa Timur,+62 813-3250-5800,None,None
PT. ARISCO MANDIRI,"
PREMIUM RUBY
",Buldozer & Excavator,"
              Arisco menjual sparepart Komatsu, spareparts alat berat, jual komponen alat-alat berat seperti unit Komatsu Excavator. Komatsu Bulldozer, Komatsu Motorgrader, Komatsu Dump Truck, Komatsu Wheel Loader, dll. kami adalah distributor / stockist untuk pengadaan spare parts spareparts Komatsu seperti unit spareparts excavator, spareparts bulldozer, spareparts motorgrader, spareparts dumptruck, spareparts wheel loader, dan barang yang ditawarkan meliputi sparepart merk asli, sparepart genuine komatsu, sparepart oem komatsu, sparepart non genuine komatsu, sparepart replacement komatsu, untuk tipe unit komatsu meliputi :Excavator : PC75UU-2 PC78US-5 PC100-3 PC100-5 PC100-6 PC200-3 PC200-5 PC200-6 ( engine komatsu) PC200-6 ( engine cummins) PC200-7 PC200-8 PC300-5 PC300-6 PC300-7 PC300-8 PC350-6 PC350-7 PC350-8 PC400-5 PC400-6 PC400-7 PC400-8 PC410 PC450-7 PC450-8 PC800-7 PC1000 PC1250-7 PC1250-8RBulldozer : D31P D31P-18 D31PX-21 D31EX-21 D60E-8 D61EX-12 D61PX-12 D65E-8 D65EX-12 D65PC-12 D70LE D85ESS-2 D155A-1 D155A-2 D155A-3 D155A-5 D155A-6 D375A-2 D375A-3 D375A-5 D375A-6Motorgrader : GD200 GD300 GD400 GD405A-1 GD505A-2 GD510R-1 GD511A-1 GD600 GD605 GD625 GD705A-4Dump Truck : HD200 HD205 HD320 HD325-5 HD325-6 HD325-7R HD465-5 HD465-7 HD465-7R HD605-7 HD785-5 HD785-7 HM350 HM400 HM400-2RWheel Loader : WA100 WA120 WA120-3 WA180-1 WA180-3 WA200 WA200-3 WA250 WA250-3 WA300 WA300-3 WA320 WA320-3 WA350-3 WA380 WA380-3 WA400 WA420-1 WA420-3 WA470-3 WA500-1 WA500-3 WA600-1 WA600-3 WA700 WA800Merek unit specialist di pengadaan spareparts KOMATSU, untuk unit lainnya seperti jual Spareparts PERKINS, jual Spareparts YANMAR, jual Spareparts CATERPILLAR, jual Spareparts KOBELCO, jual Spareparts VOLVO.Dan untuk FORKLIFT merek KOMATSU, Spareparts TCM, Spareparts TOYOTA, Spareparts PATRIA. Berikut kategori product list untuk sparepart umum yang dijual. Dan tersedia untuk barang2 GENUINE, OEM atau Replacement Parts.Tipe Product yang kita jual sbb:• ENGINE ( CRANKSHAFT - PISTON - RING PISTON - METAL SET - CON ROD[ STANG PISTON] - dll )• TURBOCHARGER ( GARRET - HOLSET - IHI - SCWITHZER)• MAIN PUMP ASS’ Y• FUEL INJECTION PUMP / CONTROL VALVE• WATER PUMP• GASKET KIT ( OVERHAUL )• SERVICE KIT ( BOOM - BUCKET - ARM - HOIST ) / SEAL KIT / O-RING KIT• OIL / FUEL FILTER / COROSION RESIST / WATER SEPARTOR• UNDERCARIGE ( TRACK SHOE - IDLER - ROLLER - TRACK LINK - SPROCKET - TOOTH - dll )• BEARING ( NTN - NSK - TIMKEN - SKF - dll )• ELECTRIC ( CONTROL PANEL - WIRE HARNESS - SOLENOID - SWITCH - dll )• ALTERNATOR / STARTING MOTOR / MOTOR GASHarga yang kami tawarkan sangatlah kompetitif. Untuk info lebih lanjut bisa menghubungi kami langsung.            ","
              Taman Sari Raya Komp. Ruko 56 no.91Jakarta Barat            ",Jakarta Barat,DKI Jakarta,+62 878-2851-4000,None,None
PT. Bina Pertiwi,"
PREMIUM BLUE ONYX
",Buldozer & Excavator,"
PT BINA PERTIWICALL : 082116688533 / 081219572050 (WA)PT Bina Pertiwi (BP) didirikan pada 15 November 1976, fokus di bidang Agriculture, Material handling, Power and Energy, dan Construction. Dimiliki sepenuhnya oleh PT United Tractors Tbk (UT) yang juga merupakan bagian dari PT Astra Internasional, Tbk. Serta didukung oleh karyawan yang berkompeten dan tim manajemen yang solid, kami hadir di seluruh Indonesia melalui kantor cabang dan perwakilan yang siap melayani anda.
 
Bina Pertiwi selalu berusaha memberikan pelayanan terbaik dengan meningkatkan jangkauan dan kemampuan untuk memenuhi permintaan pelanggan melalui ketersediaan suku cadang, jasa perbaikan dan jasa perawatan yang ditangani oleh mekanik yang bersertifikat serta dilengkapi dengan pelatihan operator.
 
Bina Pertiwi juga memiliki komitmen untuk terus melakukan perbaikan demi memberikan solusi terbaik bagi para pelanggan.PT Bina PertiwiJl. Raya Bekasi KM. 22, Jakarta 13910PIC : CHRIS HP : 081219572050 / 082116688533 ","
              Jl. Raya Bekasi KM. 22, Jakarta 13910            ",Jakarta Timur,DKI Jakarta,+62 812-1957-2050,None,None
PD MULTI PARTINDO JAYA,"
                                    PREMIUM GOLD
                                ",Buldozer & Excavator,"
              Perusahaan kami bergerak di bidang penjualan spare part alat berat, genset serta engine marine. Dimana kami menjual spare part untuk segala engine Caterpillar, Cummins, Komatsu, Nissan, Mitsubishi, Kobelco, Hitachi, Bomag dll. Kami juga menyediakan teknikal supplay untuk Perusahaan yang membutuhkan jasa reparasi engine. Dimana mekanik kami sudah sangat berpengalaman dalam bidang tersebut. Kami tidak memberikan janji dalam bekerjasama, tapi kami memberikan bukti dan service yang selayaknya di dapat oleh pelanggan pelanggan kami. Untuk perhatiannya kami ucapkan terima kasih.            ","
              Jl. karang Anyar Raya, komp Ruko Karang Anyar Permai 55 Blok B1 No. 43Jakarta Pusat             ",Jakarta Barat,DKI Jakarta,+62 812-1945-7221,None,None
PT.NUSANTARA SENTRAL TEKNOTAMA,"
                                    PREMIUM GOLD
                                ",Buldozer & Excavator,"
Jual : Undercarriage, Sparepart Alat Berat , Sparepart Truck , Sparepart Forklift ,Sparepart Genset  Di Jakarta. 
Jual Spare part Alat Berat Komatsu , Caterpillar , Kobelco , Hitachi , Hyundai , Volvo
Excavator PC40 , PC45 , PC50 , PC75 , PC130F-7 , PC200-5 , PC200-6 , PC200 -7 , PC200-8 ,PC200-8MO ,PC300-6 ,PC300-7 , PC300-8 , PC400-7 , PC400-8 , CAT320 , CAT320B , CAT320C , CAT320D , CAT320D-2 ,ZX48 , ZX110 , ZX210F , ZX200-5G , ZX330 , EX200-3 , EX200-5 , SK200-6 , SK200-8 , SK330-8 , SK480LC-8 , R210-7 , R210-9 , R220-7 , R220-9 , SH130 , SH210 , EC210.
Dozer D85ESS-2,D65ESS-2,D65PX-8,D31P-20,D6D,D6G,D3C,D4K,D6R,D7G,D5R.
Motor Grader GD510A-1, GD511A-1, GD405, CAT 120K, CAT 140H.
Wheel Loader WA100-6 , WA150-5 , WA200 , WA300, WA400-8, WA500.Jual Spare part ForkliftForklift Komatsu , Forklift Caterpillar , Forklift TCM , Forklift Toyota , Forklift Mitsubishi , Forklift Nissan.Jual Spare part GensetGenset Perkin , Genset Yanmar , Genset Cummin , Genset Firman , Genset Dongfeng , Genset Kubota.www.spareparthitachinst.comwww.sparepartKomatsunst.comwww.sparepartCaterpillarnst.comwww.sparepartKobelconst.comwww.sparepartHyundainst.comwww.sparepartsumitomonst.comwww.sparepartvolvonst.comwww.agensparepartnst.comwww.sparepartalatberatnst.comwww.jualsparepart.co.id ","
              Jalan Karang Anyer Raya Komplek ruko 55 Blok. B1 No.32            ",Jakarta Pusat,DKI Jakarta,+62 812-9888-8228,None,None
BEJO REJO BANGKIT JAYA,"
                                    PREMIUM GOLD
                                ",Buldozer & Excavator,"
              PT. BEJO REJO BANGKIT JAYA merupakan Perusahaan Jual / Beli / Sewa Concrete Pump, alat berat, heavy equipment di Jakarta - Indonesia. CONCRETE PUMP / POMPA BETON : disini kami untuk concrete pump menyediakan berbagai macam tipe sesuai kebutuhan anda, ada concrete pump mini, concrete pump standa ( 18 meter ) concrete pump long boom ( 26 meter ) , concrete pump super long boom ( 32 - 37 meter) dan juga ada concrete pump portable atau biasa di sebut pompa kodok/ stationary, pompa portable sendiri kegunaanya untuik pengecoran dengan ketinggian dan jarak yang sudah tidak bisa di lakukan oleh concrete pump mobile. Sewa Concrete Pump Jual Concrete Pump Beli Concrete Pump Rental Concrete Pump Jasa Concrete Pump Sewa Heavy Equipment Jual Heavy Equipment Beli Heavy Equipment Rental Heavy Equipment Heavy Equipment Rental Pump Jasa Heavy EquipmentUntuk informasi lebih lanjut silahkan hubungi : Bpk. Hermanto / Bpk Darma Hp : 08129107773 Hp : 0818124645            ","
              DAAN MOGOT KM.17- NO. 38 (KALIDERES)            ",JAKARTA BARAT,DKI Jakarta,+62 818-124-645,None,None
pt.inti karya karisma,"
                                    PREMIUM GOLD
                                ",Buldozer & Excavator,"
              PT.INTI KARYA KARISMA adalah suatu perusahaan dagang yang berkembang sangat pesat, khususnya dalam bidang penyediaan barang dan alat - alat untuk kebutuhan industri yang ada di Indonesia, meliputi bidang Valev - Valev, Automation System dan Electrical Components Seperti : PNEUMATIC & HYDRAULICS : SMC, KOGANEI, CKD, KURODA, TAIYO, TACO, ROSS, AIRTAC, TOYOOKI, AUTOGIKEN, DAIKIN, UCHIDA, YUKEN, NOK F- TEC, FUJIKURA, JUNRON, MARUHA, NACHI, SHINDENGEN, MAC, ERACON ( NEW ERA ) PISCO, KONDOH, FOTEK, CHANTO, PNEUMAX, SANG- A, MAC, NUMATICS, MYOTOKU, AURORA CONVUM, KONAN, FUJI SEIKI, KINGSTON, JUNRON, KCC, YPC, BIMBA, FABCO- AIR Etc. CLUTCH & BRAKE ELECTROMAGNETIC : OGURA, SHINKO, OSAKI DENGYOSA, SUNTES, MITSUBISHI, AIRFLEK, PLANOX, MIKKI PULLEY, STROMAG, GUMMI, FAWICK, EATON, AUTOGARD, STEARN, ORTLINGHAUS, SIME, BINDER, COREMO, ANTEC, PINTS BAMAG, WARNER, MAYR, AIR CHAMP ELECTRIC & MOTOR : MITSUBISHI, YASKAWA, FUJI ELECTRIC, HITACHI, TOSHIBA, NIKKI DENSO, TSUKASA, TAMAGAWA SEIKI, NISSEI, OGURA, OMRON, RORZE, SANYO DENKI, SAWAMURA, TAMAGAWA SEIKI, ORIENTAL, VEXTA, PANASONIC, YAMATAKE, SHINKO, SHIMPO, NIDEC, MIKI PULLEY, ITOH, MAKISHINKO, TSUBAKI, PATLITE, USHIO, IDEC IZUMI, HANYOUNG, PHILIPS, OSRAM, TOYO FAN, TDK, KOINO, ALPS, NIKKAI ( NKK ) SENSOR & CONTROLS : OMRON, SUNX, SHINKO, KEYENCE, RIKEN, NATIONAL, YAMATAKE, SEEKA, HONEYWELL, IFM, KOYO, EUROTHERM, PEPPERL+ FUCHS, BALLUFF, PILZ, SICK, TURCK, DATASENSOR, TAKENAKA, IDEC IZUMI, KOINO, TOYO , NIPPON AUTOMATION POWER SUPPLIES : COSEL, NEMIC LAMBDA, OMRON, MATSUSHITA, MEAN WELL, ASTEC, MURR, SPELLMAN, ZENTRO, XP Power Supplies COOLANT PUMP : MITSUBISHI, NIPPON OIL PUMP, FUJI ELECTRIC, TERAL TROCHOID PUMP : NIPPON OIL PUMP, FUJI, MITSUBISHI BEARING : THK, IKO, NSK, NB, NMB, EZO, KURODA, SAMICK, HIWIN, NTN Etc TEMPERATURE CONTROL : RKC, TOHO, SHIMADEN, FUJI ELECTRIC, HONEYWELL, ASAHI KEIKI, YOKOGAWA, AMETEK, DYWER, TESCOM, SHIMAX, OPTEK Keuntungan dari pelayanan kami adalah sbb: Untuk permintaan penawaran harga silahkan e- mail ke : PT.INTI KARYA KARISMA Hp : 081286783132, 081218651189 Tlp : 021- 50408997 E- mail : pt.intikaryakarisma@ yahoo.co.id            ","
              Mega Glodok Kemayoran            ",Jakarta,DKI Jakarta,+62 812-8678-3132,None,None
