Name,Membership,Category,Description,Address,City,Province,telp1,telp2,telp3
SAKA MEDICAL,"
PREMIUM RUBY
",Laundry,"
Profil Saka Enginering 

Spesialis fabrikasi Peralatan rumah Sakit
Saka Enginering adalah sebuah perusahaan yang bergerak dalam bidang Pembuatan fasilitas peralatan untuk Rumah sakit. Perusahaan kami membuat berbagai macal peralatan Medical Equipment dan Furniture Rumah sakit untuk berbagai macam keperluan. Semua produk kami diproduksi di dalam negeri dengan Kualitas Unggul serta Sistem pembuatan yang maksimal dan pressisi.Saka enginering berdomisili di kabupaten Bogor yaitu di daerah Cibinong dengan Alamat Green view. Blok h. No. 3 JL. KH. M Sanun Harapan jaya Cibinong Kab Bogor
Produk Alat rumah sakit kami digunakan untuk RSUD, Klinik, Puskesmas dan Berbagai fasilitas Pelayanan Kesehatan yang lainnya.
Mempercayakan Pembuatan hospital Equipment kepada Saka Engineering merupakan sebuah pilihan yang tepat dan bijaksana.
Karena Perusahaan kami telah berpengalaman menangani klien yang memerlukan Furniture rumah sakit sesuai dengan Spesifikasi Teknis yang diperlukan maupun Budget yang diberikan
Bidang Usaha Saka engineering
Alat Alat Kesehatan
Hospital furniture
Ambulance
IPAL Rumah Sakit
Incenerator
Aerator
WTP Rumah Sakit
Pengolahan Air Limbah
Dalam Perjalanan menekuni bidang pembuatan Alat Kesehatan ini perusahaan kami berhasil memproduksi berbagai peralatan Hospital Equipment dan furniture Rumah Sakit
Visi dan misi kami yaitu menciptakan inovasi produk Alat Kesehatan Lokal nasional yang berorientasi kepada kualitas dan Performa.
Komitment kami yaitu membuat produk Furniture rumah sakit yang simple, Mudah dioperasikan serta harga Murah.
Sehingga Siapapun juga dapat menikmati produk berkualitas dengan harga yang terjangkau demi pemerataan tingkat Kesehatan sesuai program pemerintah
 
Produk Saka Enginering
- Bed Pasien Manual dan Elektrik
- Bed Side Cabinet
- Gynaecology
- Linen Hamper carriage
- Mortuary Referigetaror
- Incubator manual dan elektrik
- Scrub station
- Emergency Trolley
- Food trolley
- UV Lamp Room Sterilizer
- Medicine Cabinet
- Doctors Tool
- Waiting chair
- Locker
- Ambulance Set
- Ipal Rumah Sakit Biotechnology
- Incenerator
 
- WTP Rumah SakitSaka Enginering membuka kesempatan bagi semua distributor dan agen Alat kesehatan di luar daerah untuk bekerjasama menjadi mitra pemasaran Produk Hospital Equipment dan furniture rumah sakit kamiMemilih produk saka Enginering berarti telah mengutamakan penggunaan produk produk berkualitas dalam negeri.Hubungi kamiSaka EngineeringCall / WA : 081283756527

 ","
              Green View @Cibinong Blok  H No. 3 Jl. KH. M Sanun, Harapan Jaya Cibinong Kab. Bogor            ",kab bogor,Jawa Barat,+81 283-75-6527,None,None
PT. REXINDO OTOTEKNIK,"
                                    PREMIUM GOLD
                                ",Laundry,"
PT. REXINDO OOTEKNIK incorporated in Bekasi, Indonesia to fulfill any rapid development of diverse modern industry commands an ever-increasing need for industrial plants and success of these industries is highly dependent on cooperation with the right partner for the business. 
 
PT. REXINDO OOTEKNIK established since 2012 by a group of engineers who have experience in the various fields of engineering that could support any industrial needs especially on Engineering, Technical Services, Instrumentation & Control and Industrial Supplies. 
We have some experiences of supplying products in varies kind of industries, such as Oil & Gas, Chemical, Power Generation, Petrochemical, Fertilizer, Coal & Mining, Pharmaceutical, Food Industries, Petrcochemical, etc. 
 
Our team of sales engineers possess many years of experience in assisting clients in automated processes to enhance product quality, increase productivity, reduce waste, improve safety, and to meet regulatory requirements. The result is a solution tailored to meet the unique needs of our customers. 
 
Therefore we represent some agency from International Company that related with our main business. ","
              Office & Workshop : Jl. Toyogiri Selatan No.77 Kel. Jatimulya Kec. Tambun Selatan Bekasi Timur Jawa Barat 17515 – INDONESIA.Phone:  (021) 82746125  Faximile: (021) 82435319Branch Office : Villa Mutiara Bogor I Blok C1/19  Kel. MekarwangiKec. Tanah Sareal Jawa Barat 16168 – INDONESIA.Phone (0251) 7595433.HP/WA : +62 812 9119 2569            ",Bekasi,Jawa Barat,+62 812-9119-2569,None,None
Setrika Uap Maxxi,"
PREMIUM RUBY
",Laundry,"
Kami Pabrik / Produsen Setrika Uap Gas, Mesin Pengering Gas Konversi dan Meja Khusus Setrika Uap dengan Brand Maxxi yang terletak di Kota Surabaya Berdiri Sejak Tahun 2012, Asli Buatan Anak Bangsa Indonesia
Pelayanan, After Sales Dan Kualitas Barang Yang Kami Utamakan
Visi Kami adalah Amanah dalam Penjualan, Pelayanan dan After Sales / Garansi Produk Sehingga Para Pelaku Usaha Puas dengan Layanan Produk Kami
Misi Kami adalah Kesuksesan Usaha dan Kemudahan untuk Para Pelaku Usaha dalam Pengoperasionalan Produk Kami
Selama bertahun-tahun kami menjadi produsen utama untuk Pengusaha Laundry, Gorden, Konveksi, Garment dan Taylor di Dalam dan Luar Indonesia.
Kami Menyediakan :
- Setrika Uap Gas
- Mesin Pengering Gas / Konversi
- Meja Khusus Setrika Uap
- Paket Usaha Laundry
- Sparepart Setrika Uap
 
Setrika Uap Maxxi
Jl. Semampir Tengah 1 no 14, Sukolilo – Surabaya
Telp. 081289246123
*pengiriman seluruh indonesia ","
              Jl. Semampir Tengah 1 no 14, Surabaya            ",Surabaya,Jawa Timur,+62 812-8924-6123,None,None
UD. SIDO MUMBUL,"
                                    PREMIUM GOLD
                                ",Laundry,"
              UD. SIDO MUMBULPerusahaan kami bergerak di bidang distribusi barang pecah belah / bolo pecah, plastik rumah tangga, peralatan / alat dapur ( kitchen wares) dan kebersihan ( cleaning equipments) , perlengkapan rumah tangga ( house wares / home appliances) dan kebutuhan industri ( industrial wares) lebih dari 30 tahun di Pasar Turi, Surabaya. Kami menjual barang-barang produksi lokal dan impor seperti barang-barang aluminium, kaca, plastik, stainless steel, perkakas, dll. dengan harga dan kuantiti partai ( grosir) untuk dijual kembali ( reseller price).Beberapa merek barang yang kami jual adalah Hock, Lion Star, Maspion, Global Eagle, Green Leaf, Dian Sari, Owl Plast, Technoplast, Bull Star dan masih banyak lagi. Untuk informasi lebih lengkap bisa dilihat pada halaman Katalog Produk kami atau bisa langsung datang ke kantor kami pada hari Senin - Sabtu pada pukul 10: 00 - 17: 00 WIB di jalan Dupak 63, kompleks pertokoan Mutiara Dupak C-22, Surabaya.  Dengan dukungan supplier lokal dan nasional, kami siap untuk memenuhi kebutuhan usaha anda. Kontak kami segera untuk berbisnis dengan kami.Kami juga melayani kebutuhan hotel, rumah sakit, cafe, restoran & katering.Untuk pemesanan produk dapat dilakukan via telepon, short message service ( SMS) , Yahoo! Messenger, Blackberry Messenger ( BBM) dengan sistem pembayaran cash ( transfer bank / kontan) . Pembayaran dapat dilakukan setelah mendapat konfirmasi dari kami atas ketersediaan jumlah produk yang dibutuhkan. Apabila anda serius, dimohon untuk tidak mengirimkan e-mail kepada kami tanpa melakukan konfirmasi terlebih dahulu.  Tersedia kualitas produk biasa, menarik, murah, kuat dan berkualitas tergantung merk dan kebutuhan. Untuk area surabaya kami dapat mengirim, untuk konsumen luar kota dan luar pulau dapat dikirim lewat ekspedisi yang telah disepakati bersama. JAKARTA - BANDUNG - YOGYAKARTA - MAGELANG - SOLO - DENPASAR - SEMARANG - MALANG - SURABAYA - BANYUWANGI - PASURUAN - PROBOLINGGO - JEMBER - PRABUMULIH - MEDAN - JAMBI - PEKANBARU - MAKASSAR - BALIKPAPAN - PONTIANAK - BANJARMASIN - BATAM - PALEMBANG - LAMPUNG - SAMARINDA - PADANG - MATARAM - KALABAHI - MANADO - JAMBI - ACEH - PANGKALAN BUN - KUALA PEMBUANG - BATU LICIN - SAUMLAKI - TUAL - GORONTALO - TANJUNG SELOR - TOLI TOLI - AMBON - BATAM - PANGKALPINANG - WAINGAPU - WAIKABUBAK - KUPANG - ATAMBUA - DILI - PALU - SAMPANG - BANGKALAN - SUMENEP - JAYAPURA - SORONG - BIAK - MANOKWARI - MERAUKE - BAU BAU - TERNATE - TOBELO - KENDARI UD. SIDO MUMBUL - Jln. Dupak 63 / Pertokoan Mutiara Dupak C-22, (031) 5469330 / 081938685700, Surabaya. PIN BBM = 7C5F4B40 / 5B69FFC6 / 228B81D4 WA = +6282143438684 LINE = herry.sutanto E-mail = ud_sido_mumbul@yahoo.com / herrychenzhongqiang@gmail.com Jam Kerja = Senin - Sabtu 10:00 - 17:00 WIB, Hari Minggu / Besar Libur            ","
              Jln. Dupak 63 / Pertokoan Mutiara Dupak C-22, (031) 546-9330 / 0819-3868-5700, Surabaya.
PIN BBM = 7C5F4B40 / 5B69FFC6
WA = 0821-4343-8684
LINE = herry.sutanto            ",Surabaya,Jawa Timur,+62 814-3438-684,None,None
ESTEEM SUPPLIES,"
                                    PREMIUM GOLD
                                ",Laundry,"
ESTEEM SUPPLIES melayani aneka kebutuhan untuk Hotel, Rumah Sakit, kebutuhan Spa dan Media Promosi anda. PRODUK - PRODUK KAMI ADALAH SBB : A. KEBUTUHAN HOTEL 1. DENTAL KIT - JET * SUPER * JORDAN * CRYSTAL* SUMI 2. SLIPPER / SANDAL HOTEL : TOWEL/ HANDUK * WAFFEL * SPONS * SPONS EMBOSS 3. SHOWER CAP PLASTIC, SHOWER CAP SPUNBOND & SHOWER CAP ULET 4. LAUNDRY BAG / SANITARY BAG UNTUK HOTEL - PLASTIK * SPUNBOND 5. KOREK API BATANG & KOREK API CERUTU / CIGAR MATCHES 6. RAZOR + SHAVING CREAM 7. PAYUNG HOTEL 8. HANDUK & KESET HOTEL 9. EMERY BOARD / KIKIR KUKU 10. LOOFAH ( sponge mandi untuk hotel) 11. VANITY KIT ( cotton bud) B. KEBUTUHAN SPA 1. DISPOSABLE UNDERWEAR / PANTYS / CELANA LULUR 2. KEMBEN / KAMISOL 3. SEPREI 4. KIMONO / BATH ROPE C. PROMOSI 1. TAS BAHAN SPUNBOND 2. TAS RANSEL 3. TAS UNTUK PAKET RUMAH SAKIT 4. TAS PROMOSID. BAHAN BAKU KAIN 1. KAN WAFFLE / WAFEL/ WAVEL 2. BAHAN SPUNBOND / PURING / PUR 3. KAIN HANDUK UNTUK BAHAN SANDAL 4. SPONS - BUSA ANGIN Dengan standart kualitas yang kami miliki, kami berusaha memberikan pelayanan yang terbaik yang mendukung sarana promosi perusahaan anda. Untuk informasi lebih lanjut, silakan menghubungi kami di no telp 081 2163 8008  atau email jryenny_ yunita@ yahoo.com /  Line: yenny.jry ","
              Jl. Rungkut Asri Timur VI No. 30 ( RK IV B13 )            ",Surabaya,Jawa Timur,+62 812-1638-008,None,None
Selatan Jaya Plastik Surabaya,"
                                    PREMIUM GOLD
                                ",Laundry,"
Selatan Jaya Merupakan Distributor Plastik Di Surabaya, Kami jual harga grosir produk Barang Plastik, Barang Perlengkapan Makan minum, Perlengkapan Mandi, Perlengkapan masak Dapur, alat kebersihan, Perlengkapan Rumah Tangga, Produk Pecah Belah Dll. 
Hubungi Kami : 
SELATAN JAYA PLASTIK 
0313520648 / 0313542351 / 081331351580
Songoyudan 31b, Surabaya Surabaya Jawa Timur , Indonesia

Produk Melamin, Stainless Steel, Alumunium, Merk Pabrik Napolly, Tms, Ag, Ks, Kaisha, Ikimura, Maspion, Lion Star, Calista, Olympia, Produk China, Dll
 
Kategori Produk Yang Kami Jual
 
Perlengkapan Ruang Tamu:
Kursi Plastik, Meja, Lemari, Keset, Karpet, Sapu, Pel Gagang, Sekrop Plastik, Asbak Melamin.
 
Perlengkapan Di Ruang Makan:
Keranjang Plastik Industri Krat, Sendok, Garpu, Piring, Mangkok, Toples Plastik, Mug, Gelas, Cangkir, Teko, Ceret, Lunch Box, Tempat Sendok, Tempat Sambal, Tutup Sayur Segi, Tutup Sayur Bulat, Jumbo Tras, Eskan, Thermos, Rantang, Wakul, Ompreng, Sealware, Water Jug, Baki, Rantang Catering.
 
Perlengkapan Dapur:
Wajan Alumunium, Kompor Hock, Panci, Kuali, Priuk, Pisau , Rice Cooker, Mixer, Magic Com, Blender, Magic Jar, Rice Bucket, Tudung Saji, Tempat Nasi, Dandang, Oven, Serbet, Industri Krat, Rak Piring, Tampa, Nampan, Niru, Baki, Erus, Eros, Entong, Sutil, Kitchen Set, Panggangan, Sumbu Kompor, Pressure Cooker
 
Perlengkapan Kamar Mandi:
Tempat Sabun, Bak Bayi, Ember, Timba, Baskom, Waskom, Tong Air, Gayung, Kaca Pretty, Gentong, Jirigen.
 
Perlengkapan Kamar:
Gantungan Baju, Hanger, Jepit Baju.
 
Perlengkapan Rumah Tangga:
Keranjang Pakaian, Rak Sepatu, Keranjang Sampah, Pot Bunga, Kursi Taman, Kursi Anak, Kursi Makan, Kursi Bakso, Celengan, Tikar, Kemucing, Container, Bola, Big Boxer, Saringan, Tandon.
 
  ","
              surabaya            ",surabaya,Jawa Timur,+62 813-3135-1580,None,None
PT. SAMUDERA SARANA LOGISTIK CABANG SURABAYA,"
                                    PREMIUM GOLD
                                ",Laundry,"
Kami adalah PT Samudera Sarana Logistik Surabaya anak perusahaan Cabang PT. Samudera Indonesia Group, Tbk. Kami telah memiliki pengalaman sejak tahun 1980-an dan didirikan secara resmi pada 1991 Bisnis utama kami adalah; - Kontainer Depot - Modifikasi Kontainer Bekas - Maintenance and Repair Container - Reefer ServiceKami menawarkan modifikasi kontainer yang dibuat oleh tim profesional dan berpengalaman di bidangnya. Definisi Modifikasi Kontainer ( Portacamp) : Kontainer Office atau PortaCamp adalah sebuah bangunan yang dirancang dan dibangun untuk menjadi bergerak daripada terletak secara permanen. Bangunan portabel dapat di buat sesuai kebutuhan serta dapat dipindahkan atupun digunakan di kemudian hari.Kelebihan portacamp: - Perumahan permanen / sementara (tidak perlu IMB)- Sebagai bangunan kantor sementara - Sebagai kantin atau kafetaria hanya dengan ruang kecil yang diperlukan - Dapat dipindahkan atau dikirimkan seluruh Indonesia Produk Modifikasi Kontainer kami: Ruangan kantor, kamar Medis, Lounge, Kitchen, Canteen, Cold Storage, Laundry, Kamar Mandi, Kamar Tidur, Toilet, Gudang, Chiller & Frozen, Isotank, 10 ft dry dan 10 ft reefer dan sebagainya sesuai permintaan dari customer Pelanggan kami: - PT. Freeport Indonesia - PT. Medco Geothermal Indonesia ( Medco Energy) - PT. McConnell Dowell Indonesia - PT. Antareja Resources - PT. Sclumberger Geophisics Nusantara - PT. Elnusa - PT. Apexindo Pratama Duta - PT. Alam Bersemi Sentosa - PT. Sapta Indra Sejati - PT. Thiess Indonesia - PT. Sodexo Indonesia Dll  ","
              Jalan Greges Jaya III No. 2-4-6 Greges            ",Surabaya,Jawa Timur,+62 812-1388-6878,+62 821-2568-0449,None
PT.KARYA ABADI INTIBUANA,"
                                    PREMIUM GOLD
                                ",Laundry,"
Kami adalah partner terbaik untuk  pengadaan berbagai kebutuhan bahan kimia industri & laboratorium Lab glassware Kebutuhan industri.Perusahaan kami melayani penjualan ke seluruh wilayah indonesia.Duran,Pyrex,Vitlab,Merck,Smartlab,Sigma Aldrick-Fluka,Hanna Instrument,Chemical Teknis,Draeger,Whatman,Orion,Kessler,Koehler,Brand,CHEMets,Dll.Beberapa produk yang kami supply

Beaker glass 
Lab.bottle 
Measuring cylinder
Centrifuge Tube
Botol PET 80ml
Bottle sample HDPE
Kaleng sample 4L,1L
Sarung tangan benag 5 Polos
Sarung tangan dotta kuning
Kain lap majun jahit warna
Kain lap majun jahit putih
Kain lap majun lembaran warna 
Kain lap majun putih
Ear Plug /pelindung telinga
Isopropyl alcohol-IPA teknis
Toluene
Acetone
Methanol
Demin water-Aquades
Buffer solution -Merck
Conductivity standart solution -Hanna
Hydranal composite 5
Hydranal coulomat AG
Hydranal coulomat CG
Hydranal water standart 0.1
Iron tes -Merck
Sulafate test S04-Merck
Methanol -Merck
Silver nitrate solution -Merck
Titriplex III -Merck
Filter paper -Whatman
Easicult combi-Orion
Thermometer
Hydrometer
Dll

Untuk permintaan penawaran harga dan ketersediaan stok silahkan hubungi kamitelp. 0353 289 8511wa. 082244477780,082122922706email.sales1@kadint.com,info@kadint.com            ","
               Bojonegoro            ",BOJONEGORO,Jawa Timur,+62 822-4447-7780,None,None
PT. JAYA UTAMA SANTIKAH,"
PREMIUM RUBY
",Laundry,"
PT. Jaya Utama Santikah adalah perusahaan Perseroan terbatas yang bergerak dibidang Perdagangan Umum dan Jasa. Perusahaan kami telah berdiri sejak 1997 di Jawa Timur dengan nama CV. Jaya Santikah, dan ditahun 2008 kami telah berkembang menjadi PT. Jaya Utama Santikah dan kami sekarang memiliki kantor di Jakarta.
 
Sesuai dengan moto kami yaitu membantu akan kebutuhan dalam bidang Jasa Perawatan Kebersihan dan Keindahan pada setiap lingkungan yang dibutuhkan. Seperti halnya yang kami tawarkan Jasa Kebersihan Gedung, Jasa Perawatan Taman Jakarta semua hal itu tentunya dibutuhkan sebuah management khusus agar kegiatan yang berjalan sesuai dengan apa yang diharapkan.
 
Dan kami menyadari tidak semua kantor atau gedung memiliki management khusus kebersihan dan perawatan seperti ini, dan pastinya untuk membentuk management ini juga dibutuhkan sumber daya yang profesional dan memahami setiap langkah apa saja yang harus dilakukan. Dan semua tahap itu tentunya membutuhkan proses yang panjang, untuk mempersingkat waktu dan meminimakan pembiayaan dalam memenuhi kebutuhan perawatan kebersihan kami siap membantu Anda dalam jasa penyedia cleaning service, jasa cleaning service terbaik, jasa perawatan taman Jakarta, jasa kebersihan gedung, jasa kurir antar barang dan distributor alat cleaning service sebagai produk perdagangan kami. ","
              Jl. Daan Mogot KM19 Kebon Besar Batuceper, kota Tanggerng,             ",Smart Market Daan Mogot Blok B No. 5,DKI Jakarta,+62 811-1833-992,+62 812-8998-071,None
Water Basis Pratama,"
                                    PREMIUM GOLD
                                ",Laundry,"
              Kami menyediakan berbagai macam jenis kantong plastik ( plastik sampah, plastik infeksius/ plastik medis, kantong muntah, kantong laundry ) berupa kantong dan rol-rolan. Berbagai warna dan jenis. Jenisnya HD, PE dan PP serta karung plastik. Kami juga menyediakan kertas sak / zak semen. Kami juga melayani cetak / sablon untuk plastik / karung plastik. JIka anda berminat silakan hubungi saya, Ibu Dewi di 021-29405384 .            ","
              Kresek Indah , Jl. Melati Blok M No.12 RT 006/012, Duri Kosambi, Cengkareng, Jakarta Barat, DKI Jakarta 11750            ",Jakarta Barat,DKI Jakarta,+62 812-9959-398,None,None
