Name,Membership,Category,Description,Address,City,Province,telp1,telp2,telp3
CV. Han Yun Engineering,"
                                    PREMIUM GOLD
                                ",Instalasi,"
              Kami sebagai salah satu supllier sparepart boiler dan jasa perbaikan boiler industry            ","
              Jl Kihajar Dewantoro No. 43 B            ",Tangerang,Banten,+62 899-0905-394,None,None
DAGO-SHOP,"
                                    PREMIUM GOLD
                                ",Instalasi,"
              Bismillaahirrahmaanirrahiim CV Avtech Tunggal Mandiri ( ATM ) merupakan toko online khusus bergerak di bidang Elektronik / Komunikasi, yang menjual berbagai macam produk seperti : Penguat Sinyal HP GSM-CDMA-3G Indoor / Outdoor | Penghilang Sinyal HP GSM-CDMA-3G-GPS Indoor / Outdoor | Metal Detektor | Kamera Pengintai | Alat Keamanan Gedung | Accesories Penguat Sinyal HP, dll. yang mampu memenuhi kebutuhan anda, dengan konsep minimalis yang terletak di sudut kota TANGERANG, yang mampu bertahan dan bersaing ketat dengan perusahan BESAR di IBUKOTA JAKARTA dengan bermodalkan KEJUJURAN & KEPERCAYAAN.            ","
              Villa Dago Blok J.15 No.7            ",Tangerang Selatan,Banten,None,None,None
PT Gecko Indonesia,"
PREMIUM RUBY
",Instalasi,"
              Liquid and Air HandlingIndustrial Equipment Engineering ContractorService and Maintenance HVACUntuk pembelian atau pemesanan bisa menghubungi nomor telepon 021-29557452,
Inge    : 0816719556 / 081586477069 ","
              Menara Rajawali, Level 7-1Jl. DR Ide Anak Agung Gde AgungKawasan Mega KuninganJakarta Selatan | Contact : 0816719556             ",Jakarta Selatan,DKI Jakarta,+62 816-719-556,None,None
PT. GENTA ABADI WIBAWA ESA,"
PREMIUM RUBY
",Instalasi,"
PT. GENTA ABADI WIBAWA ESA
Kami Menerima Jasa Bending Besi Profile, Siku, H-beam, Pipa
Kami menerima jasa pengerolan untuk plat (ss, hardox, dll),
TEBAL sampai :100mm (tergantung lebar plat)
LEBAR sampai : 2800 mm (tergantung tebal plat).
Minimum diameter 450mm
Kami menerima jasa pembuatan bodem
DIAMETER sampai : 4500mm 
Kami menerima jasa bubutan, machining, fabrikasi.
Harga yg kami berikan sangat kompetitif, harga bagus
dapat di cek juga dalam website kami di : www.gentaabadi.com
Ps: Semua foto yg kami upload dan semua mesin adalah milik cv. genta abadi
Facebook : https://www.facebook.com/profile.php?id=100014588445509
Blogspot : http://jasabendingpipabesi.blogspot.com/
website : www.gentaabadi.com
Lokasi workshop:
Jalan Kp. Muhara no. 24
Bantar Jati Kelapa Nunggal
Gunung Putri - Bogor
Goggle Maps :
https://goo.gl/maps/XUt79r1v3Lo
 
Contact person:
MARTIN (081285513785) ","
              Jl. Kelapa Nias 8 PA 22 No.8 - Kelapa Gading  ",Jakarta Utara,DKI Jakarta,+62 812-8551-3785,None,None
PT. Foxa Asa Energi,"
PREMIUM RUBY
",Instalasi,"
              PT. Foxa Asa Energi adalah perusahaan yang bergerak di filling station gas industri, dan importir tabung/ cylinder gas bertekanan tinggi, kami melayani pengisian ulang oksigen ( o2) , nitrogen ( n2) , karbondioksida ( co2) , argon ( ar) , acetylene ( c2h2) , udara tekan, MIX GAS, amoniak, dry ice, elpiji ( agent) , dll. Kami juga melayani pemasangan/ instalasi pipa gas untuk industri atau rumah sakit, kami berpengalaman dalam pemasangan tangki liquid oksigen di banyak rumah sakit daerah jabotabek. Kami juga menyediakan oksigen medis yang dipakai rumah sakit besar.            ","
              Ruko Permata Regency D/37 Jl. Haji Kelik, kel. Srengseng, kec. Kembangan, Jakarta barat            ",Jakarta Barat,DKI Jakarta,+62 897-9712-379,None,None
PT. Total Abadi Solusindo ( Authorized Distributor & General Contractor ),"
                                    PREMIUM GOLD
                                ",Instalasi,"
              PT. Total Abadi Solusindo adalah Perusahaan yang bergerak di bidang Industrial Automation System & Electrical Component, instruments juga Controls. Perusahaan kami mampu memenuhi semua kebutuhan Industri baik dalam segi penjualan maupun pelayanan. SUPPORT BRAND & ALL MANUFACTURE: AC INVERTER DRIVES : YASKAWA ALLEN BRADLEY ABB MITSUBISHI SIEMENS OMRON SCHNEIDER HITACHI TOSHIBA LS/ LG HYUNDAI PANASONIC SUMITOMO FUJI ELECTRIC LENZE EMERSON FISHER DELTA DANFOSS SANYO DENKI SUOER TECO VACON BOSCH REXROTH EATON KEB AKAO UNICO INVT EWM KACO QUICK CUTES SANKEN BALDOR WELGEN SUNFAR XANTREX PLASMA VICTRON MECHRON ERGUS GENIUS WELDMAN INVERTEK SMA LAMA RCHE TEK-DRIVE PROMAC MIYACHI NOVA ELECTRIC SEW WINNER TAIYO SOLARMAX TELEMECANIQUE THERMAL ARC BRECON WEG ORIENTAL VEXTA NISSEI NORD SANTERNO PARKER SSD IMO PLC ( Programmable Logic Controllers ) : MITSUBISHI OMRON ABB ALLEN BRADLEY SIEMENS IDEC SCHNEIDER KOYO KEYENCE HITECH HITACHI FOXBORO FATEK LS/ LG DELTA NAIS GEFRAN FINDER GE FANUC NATIONAL YOKOGAWA PANASONIC MATSUSHITA UNITRONICS FUJI ELECTRIC TELEMECANIQUE AKIRA HAMILTON MONITOR / HMI ( Human Machine Interface ) : PROFACE WEINTEK HITECH HAKKO KINCO WECON ALLEN BRADLEY MITSUBISHI OMRON SCHNEIDER SIEMENS HITACHI YASKAWA ABB GE FANUC DELTA M2i BEIJER PEPPERL+ FUCHS EATON CIMON FATEK MAPLE SYSTEM KRONO TECH XYCOM ADVANTECH PARKER WEINVIEW PANASONIC RS AUTOMATION - RS OEMAX AU OPTRONICS UNITRONICS TEMPERATURE CONTROLLER : AZBIL YAMATAKE OMRON IFM RKC EUROTHERM SHINKO SICK SIKA FOX E+ E REX TOHO TOKY FUJI ELECTRIC MURR EMKO BETA WEST OMEGA JUMO HYODA TURCK ETAC DELTA FOTEK SUNIL S IRCO SIGMA BAUMER FLUKE WATLOW YAMARI COMARK NAGANO GOSSEN FENWALL FUJITA FI NETEK BURKERT SINYEI AUTONICS SIEMENS MILTRONICS SHIMADEN KERONICS ASHCROFT HANYOUNG SHENG MA ROSEMOUNT HONEYWELL HENGSTLER DATASENSOR SAGINOMIYA SPIRAX SARCO SENSORTRONICS WIKA ENDRESS+ HAUSER SHINKO TECHNOS SANYO TEDEA-HUNTLEIGHT DANFOSS HAYASHI GENERAL INSTRUMENT SANWOH TAKAMISAWA TIPPKEMPER KROHNE WEICHI SENSOR & CONTROL : AZBIL YAMATAKE IFM SICK TURCK OPTEX TAKEX TAKENAKA SUNX GEMS SENSOR IDEC TOKY NAIS KOYO HONEYWELL KEYENCE WECO NAIS PARKER KONICS DATASEN SOR KFPS GEFRAN JOHNSON CONTROLS AUTONICS ANLY DANAHER CIKACHI MICROSWITCH WILLIAM CONTROLS SENSORTRONICS DOTECH TELCO SEEKA INFRA FOTEK LEUZE TOKYO SENSOR RIKEN BAUMER BINDER SENTEC FUTRON SUMTAK BANNER HOKUYO SUNGHO BALLUFF VISOLUX HANYOUNG UB SEIKI SCHUTER ROSEMOUNT AECO NGK DATALOGIC PULSOTRONICS ORION HEIDENHAIN MET ROL DENSO NATIONAL KANSAI WENGLOR OMEGA WATLOW TIPPKEMPER KOMORI FUTEK TELEM ECANIQUE ELTROTEC VIGOR HAMILTON PEPPERL+ FUCHS DATA HARVEST MICRO DETECTOR CONTRINEX TEDEA HUNTLEIGHT SINYEI E+ E ELEKTRONIK KROHNE SIEMENS SCHNEIDER ORION LEUZE ALLEN BRADLEY CARLO GAVAZZI OMRON FUJI ELECTRIC DATALOGIC ROTARY ENCODER & COUNTER : NIDEC NEMICON KOYO TAMAGAWA TAMAGAWA SEIKI SUMTAK HEIDENHAIN OMRON KUBLER HENGSTLER IKA WEST LS MECAPION TOK FUTEK MAHR REP VERTEX TAKEDA THOMAS DEUBLIN SAKURA HAYASHI KASH IYAMA FULLER SHOWA GIKEN DUF-NORTON FUJI SEIKI WILLIAM CONTROL MTL NSD PEPPERL+ FUCHS VISOLUX IFM HUBNER LIKA AVTRON ELCIS TURCK BAUMER ELTRA BALLUFF HOHNER EMETA JDA BEI TEKEL FOTEK DYNAPAR RAYTEC NORTHSTAR SICK EDWARDS STEGMANN DA NAHER PRESSURE & FLOWMETER : FUJI ELECTRIC DWYER KROM SCHRODER MARSH BELLOFRAM SHIMPO IMADA VDO ENERPAC POLYFLEX HERCULES KEM TOSHIBA FLOMEC TURB O ABB NAGANO FUTRON ROSEMOUNT KONICS VEGA GEMS SENSOR KOBOLD ENDRESS+ HAUSER HONEYWELL AB IFM JUMO WIKA SICK OMEGA SUNIL TURCK FUTEK HYODA MARSH A NCHOR BAUMER FISHER NORGREN ASCHROFT OPTEX FA DANFOSS REXPOWER YOSHITAKE HUNTLEIGHT KURTZ SAGINOMIYA SUGINO ASAHI OSAKA TAIYO-HERION TELEMECANIQUE PARKER FINETEK ADTEK EMA LUTRON NOSHOK ADTECH KE LLER K-TEK BARTON SIGNET SCHNEIDER TAKUWA KERONICS SIEMENS-MOORE PENN JOHNSON AIGO MAGNETROL YTC DITECH E+ E MILTRONICS NIPPON ELECTRIC BURKERT TOKICO NITTO TOKYO KEISO ELSTER CROWN NIAGARA KEM-KUEPPERS NUFLO VORTEK ULTRASONIC PEACOCK VEGA BAR WATER METER & TESTER : HANNA WATERFLO BBE B GBX YUKO ASAHI ITRON FUZHOU HORIBA AMICO BOSCO BMETE R TACO EUTECH SHINJU B' BRAND B-METERS KENT SCHLUMBERGER SAPPEL EESIFLO INVENSYS MEINECKE HELLIGE LA MOTTE AQUA METRO FLUKE CHAMPION SONY TREND HI-LO BAKER ASKER HIOKI FUJI SEIKI TOGOSHI ATTONIC TECLOCK DELTA TOYOSEIKI TACHOMETERS : ONO-SOKKI LINE SEIKI HENGSTLER WEST SHIMPO FEMA LUTRON AVTRON KURAMOTO KADOGUCHI SANWA PROV A/ TES RHEINTACHO DYNALCO SANPOMETER PNEUMATIC-HYDRAULICS-PUMPS-VALVE : SMC SUNTES KOGANEI NOP ( NIPPON OIL PUMP ) TERAL TAIYO CKD DAIKIN YUKEN AIRTAC TOYOOKI YTC TACO HITACHI KONAN CHANTO FESTO PISCO ROTORK NORGREN NEW ERA NOK F-TEC AURORA PARKER/ KURODA ASCO ROSS DUNGS JUFAN DELTRON HINAKA NITTO KOYO CR YPC TPC C & C VESTA VERSA WABCO SANKO WATTS AIRTEC HAFNER CONVUM MINDMAN HERCULES SUMITO MO FUJIKURA HUMPHREY NUMATICS UB SEIKI JOUCOMATIC NIHON SEIKI FUJI SEIKI REXROTH EATON NACHI BOSCH RIKEN OGURA BALDOR KAYABA ENERPAC TOKIMEC HO RIUCHI NIHON SPINDLE MAC HERION YPL BIFOLD KANEKO KEIHIN HONEYWELL TOHO TOYO ULVAC ASAHI BANJO ARGUS FABCO ISUKA MAXON ROTEX SHOWA HIROSE YAMATO JOHNSON THOMPSON WEC O SAMSON PASCAL KOSMEK SPIRAX SARCO BODIN EBARA HONDA MARCH KOKEN HANIL SANWA VOGEL ORION FINDER TERADA UC HIDA STUART WILDEN YANMAR ZENITH KOMATSU MITSUBA DAISHIN MONOFLO SIEMENS SUN TEC EBARA POWER CLUTCH & BRAKE : OGURA OSAKI DENYOSHA SHINPONIA SUNTES TSUBAKI MIKI PULLEY MITSUBISHI EATON YASKAWA REXROTH NIIKA TRANTEX MATRIX LENZE NEKEN AIR CHAMP WARNER AIRFLEX CAMCO STROMAG KEB SANYO PLANOX POWER SUPPLY AC-DC CONVERTER : MEANWELL COSEL FINE SUNTRONIX SANYO DENKI OMRON ALLEN BRADLEY SIEMENS TDK-LAMBDA NEMIC LAMBDA IDEC IDEC IZUMI MURR SANKI UNIPOWER METRONIX SANKEN ETA RAFFLES KIKUSUI POWER-ONE PULS EMERSON AEC ARTESYN GOSSEN YAMADA XP FUJI ELECTRIC ITOH LA MARCHE TAPE DISPENSER : ELM YAESU STROBOSCOPE : SHIMPO POKAI MONARCH INSTRUMENT FLUKE LANDTEK APEX MICROSCOPE : OLYMPUS MEIJI KYOWA LEICA INDUCTION MOTOR - SERVO MOTOR - GEAR MOTOR - AC-DC MOTOR & AIR MOTOR : TOSHIBA SIEMENS HITACHI MITSUBISHI YASKAWA LENZE SUMITOMO TSUBAKI YOKOGAW A ALLEN BRADLEY TAMAGAWA STEGMANN CEM SHANGYANG PANASONIC FUJI ELECTRIC ABB HONEYWELL SHINANO ORIENTAL BARCOL-AIR TMEIC SKK SIGMA SEW GTR B ALDOR SNT TVT HORZ BAUER NISSEI SITI XAJONG BISON FLENDER YASKOW TRAMEC DINA MIC TSUKASA BODINE SPG WEG KEB AEG TECO TOYO VDO DAEWO BENTLY ENERPAC GAST H AMILTON RELIANCE FENNER MIKI PULLY SAWAMURA VEXTA HIGEN RORZE ELECTROL SHINKO BAUMULLER ELCO LS MARATHON BOSCH TELEMECANIQUE METRONIX NIDEC TAIYO GLOBE VIBRATOR MOTOR : URAS ADK QUANTUM ITAVIBRAS AVITEQ YASKAWA AEG TRM TORCH VIMEC VIBTEC SIG NAL LIGHTS : PATLITE M-SYSTEM WATANABE AUTONICS HANYOUNG ARROW SHINHO ADTECH SAFETY RELAY : PILZ IDEC IZUMI LEUZE RIKEN AB SIEMENS OMRON SCHNEIDER MITSUBISHI ABB SICK PHOENIX IFM EATON CROUZET EUCHNER HENGSTLER RS COMPONENTS KEYENCEE ALTECH MAUSER PANASONICS WEIDMULLER HONGFA PEPPERL+ FUCHS WENGLOR MURR FARNELL FINDER HITECH MTL INSTRUMENT ZIPPSWITCH FESTO GE CARLO GAVAZZI TAKEX LS FUJI OLGEN SANYU OKITA SUNGHO WILMAR TOKY TOKIN FUJITSU HON EYWELL NATIONAL TOYO SEIKI MATSUSHITA KRAUS & NAIMER FOTEK FINE SUNTRONIX GEMS GRINDING WHEEL : NORITAKE NRS KOYO FUJI MIURA MIWA ANCHOR MITSUI UNTER NORTON Keuntungan dari Pelayanan Kami adalah sbb : - Harga yang kami tawarkan lebih bersaing. - Stock yang cukup lengkap. - Kualitas dan keaslian barang terjamin / Asli dan Brand New - Barang dapat kami kirim sesuai dengan tanggal kebutuhan - Untuk Barang yang membutuhkan import/ indent dari luar, kami memiliki waktu pengiriman lebih cepat. - Kemudahan dalam pembayaran. - Engineering yang handal Untuk Permintaan Penawaran Harga & Stock Silahkan Hubungi Team' S Sales kami Dibawah ini : 
Marketing :1. Yadi. Mobile : + 62-81297691617
Phone : 021 – 80808849 Ext.208
2. Ahmad Sudarman.
Mobile : + 62-81282819147
Phone : 021 – 80808849 Ext.209PT. TOTAL ABADI SOLUSINDO
Authorized Distributor & Energy Management ContractorJl.Dr.Krt Radjiman Widyodiningrat Ruko D'Arcade Blok A19D’Mansion Jatinegara Indah Central Bussiness Park, Pulo Jahe, Cakung , Jakarta Timur 13930Phone   : +62-21-80808849 |Fax.  +62-21-80808848Email   : info@totalabadisolusindo.co.idEmail   : sales@totalabadisolusindo.co.idWeb     : www.totalabadisolusindo.comSUPPORT ALL BRAND & ALL MANUFACTURE :
|INVERTER|PLC|HMI|SOFT STARTER|AC SERVO|SENSOR & CONTROLLER|POWER SUPPLY|CIRCUIT BREAKER & CONNECTOR|TACHOMETER|FILTER|BATTERY CHARGER||ENCODER & COUNTER|SCALE & INDICATOR||FLOW METER|TESTER|WATER METER|SIGNAL LAMP|SAFETY RELAY|LOADCELL|FAN & BLOWER|INSTRUMENTS|GENSET||MODULE|VALVE|PUMP|PNEUMATIC & HYDRAULIC|PRESSURE TRANSMITTER|CLUTCH & BRAKE|ELECTRIC MOTOR|SHOCK ABSORBER|GRINDING WHELL|PANEL|PIPE|CABLE|
  ","
              Jl.Dr.Krt Radjiman Widyodiningrat Ruko D'Arcade Blok A19Jatinegara Indah Central Bussiness Park, Pulo Jahe, Cakung , Jakarta Timur 13930            ",DKI Jakarta,DKI Jakarta,+81 297-69-1617,None,None
PT. FIZA LESTARI ABADI,"
                                    PREMIUM GOLD
                                ",Instalasi,"
PT FIZA LESTARI ABADI
Bergerak di bidang bisnis yang utama sebagai perdagangan Mekanikal dan Elektrikal dan Instalasi juga sebagai sub-kontraktorOUT MISSIONMembangun hubungan yang baik dengan Client dan mitra juga merawat untuk kepentingan terbaik mereka berdasarkan saling menguntungkan, tujuan bersama dan komitmen penuh untuk mencapai kinerja maksimum dan bisnis yang menguntungkan dengan efisiensi biaya.OUR VISIONProfesionalisme, menjadi filosofi dan ikrar serta komitmen untuk tujuan pelayanan dan perhatian dalam melayani klien dan mitra bisnis, sebagai saah satu kekuatan dalam memberikan gagasan ide dan visi sebagai inovasi produk unggulan.PRODUCT & SERVICE-Switch Gear [ Sneider, Siemens, ABB, Fuji ]- Transfomer [ Trafindo, AET ]- HVAC/ Cooling System- UPS- Control System- Cable [ KMI, Supreme, Sumindo, Jembo ]- Accessories [ Panduit, 3M ]- Plumbing/Ducting- CCTV/Security [ Samsung, Sony, Pelco ]- Ladder/Tray [ Trias, Noby ] ","
              APARTEMEN JUANDA TOWER A 901JL IR H JUANDA 1 KAV 1/1            ",JAKARTA PUSAT,DKI Jakarta,+62 818-321-991,None,None
PT. VISINDO GLOBAL TEKNOLOGI,"
                                    PREMIUM GOLD
                                ",Instalasi,"
              PT.VISINDO GLOBAL TEKNOLOGI adalah perusahaan yang bergerak di bidang pengandaan alat-alat telekomunikasi, Networking dan jasa instalasi. Perusahaan kami banyak menangani perusahaan, perkantoran, hotel dan menjalin kerjasama dengan kontraktor. Adapun produk yang kami tawarkan adalah: - SERVER HP, IBM, ASUS, FUJITSU dan DELL - PABX SYSTEM - LAN Infrastruktur - Security system: IP Camrea CCTV, Access Control - Software Komputer dan Server - Jasa Installasi UTP, Fiber Optic, CCTV, dan PABX System - Jasa Splicing FO Dan Jasa Terminasi FOUntuk pengadaan alat-alat kemunikasi tersebut, kami telah menjalin hubungan yang luas dengan para Agen dan Distributor dengan berbagai merek alat-alat tersebut. Prinsip kami adalah memberikan solusi yang terbaik dan tepat yang sesuai dengan kebutuhan, dengan kualitas yang baik serta harga yang ekonomis. Kerana bagi kami kepercayaan dan kepuasan pelanggan adalah suatu aset utama yang dapat memberikan kontribusi sangat besar bagi kemajuan perusahaan kami. Beberapa Produk dan merek yang kami pasarkan sebagai berikut : 1. PABX PANASONIC     - KXTEM 308, KXTEM 824, TDA 100, TDA 200, TDA 600, TDE 600 2.KABEL UTP     - AMP, BELDEN, PANDUIT PANET , SYSTIMAX, LS LG, NETVIEL    - SCHNEIDER, DRAKA , DATWYLER,   SIEMON    - HIKVISION , UBIQUITI    - PANDUIT NETKEY 3.RACK SERVER   - ASTERIX, NIRAX, FORTUNA, ABBA, ELLIPSE, PRISMA RACK    - HP, APC , SIKKU RACK , RAJA RACK 4. KAMERA CCTV    - HIKVISION, VIVOTEK, LG , AVTECH   - BOSCH , SAMSUNG , AXIS , PANASONIC5. UPS    - APC, EATON, ICA, LIBERT, VEKTOR, PROLINK 6. FIBER OPTIC dan ACCESORIES    - AMP, CCSI CORNING, SYSTIMAX, PANDUIT PANET    - PRYSMIAN NETVIEL    - PRYSMIAN DRAKA    - PANDUIT NETKEY 7. KOMPUTER SERVER dan WORKSTATION    - HP, IBM, DELL, FUJITSU , ASUSMENJADI MITRA ANDA ADALAH SUATU KEBANGGAAN BAGI KAMI Untuk mendapatkan HARGA BAGUS, silahkan menghubungi kami PT.VISINDO GLOBAL TEKNOLOGI Mangga Dua Square Lt. 2 Blok B No.010-012 Jln.Gunung Sahari Raya No. 1 Jakarta Utara VINSEN  / LASMI / AYUTelp: 021 293 82 221, 021 623 020 85, 021 2262 0693 Fax: 021 623 020 85 HP/ WA : 0812 8923 1035, 0813 9849 0522, 0812 1280 6671, 0815 1067 7372 Pin BB : 2AE 9EF 25, 2613 D809 Email : vinsen_ 7783@ yahoo.com lasmi83@ yahoo.com visindo.marketing@ yahoo.comsalesvisindo@gmail.com            ","
              Mangga Dua Square Lantai 2 Blok B No. 010 - 012Jln. Gunung Sahari Raya No. 1Jakarta Utara            ",Jakarta Utara,DKI Jakarta,+62 813-9849-0522,None,None
PT. Arya Pancarindo Perkasa,"
                                    PREMIUM GOLD
                                ",Instalasi,"
              Kami PT. Arya Pancarindo Perkasa ( APP) adalah perusahaan yang bergerak dalam bidang general trading, supplier, distributor tunggal resmi bel otomatis sekolah ( BOS) untuk sekolah-sekolah, pabrik, instansi dan tempat-tempat yang memerlukan tingkat kedisiplinan "" ON TIME"" . Audio Sound Sistim merupakan keahlian utama dari perusahaan kami, yang telah berdiri sejak tahun 2008, PT.APP adalah perusahaan yang resmi yang memiliki Akte Notaris Perusahaan, Surat Keputusan Kementrian Hukum dan HAM RI, Domisili Perusahaan, NPWP, SIUP, TDP dan PKP di Kantor Pajak dan Rekening Perusahaan. Dan hingga saat ini sudah lebih dari 500 client yang telah menjalin kerjasama dengan kami. Bukan hanya mensuply tapi juga kami dapat melakukan instalasi / pemasangan yang didukung tenaga-tenaga yang handal dan profesional di bidangnya. Penyediaan alat dan Instalasi yang dapat disediakan oleh perusahaan kami adalah sbb : 1. Audio Sistim di gedung, sekolah, pabrik, gudang, mall, tempat wisata, apartement, mesjid, instansi baik pemerintah maupun swasta. 2. Audio Selektor + pendukungnya. 3. LCD Projector + perangkatnya 4. CCTV 5. Instalasi Listrik di Pabrik dan Perumahan. 6. Smoke dan Heat Detector 7. Car Call 8. Paging System Dalam memperluas bidang USAHA PT. Arya Pancarindo Perkasa, sejak tahun 2013, kami merambah di bidang "" Pembangunan"" dalam bidang Konstruksi Sipil dan juga pengadaan dalam bidang Electrical Development. Adapun cakupan nya adalah : - Perencanaan - Design dan Gambar - Konstruksi - Renovasi Juga kami menyediakan "" Design Interior"" sebagai pelengkap di Bidang Konstruksi Sipil. Untuk Electrical Development yang dapat kami lakukan seperti misalnya : menggabungkan mesin Alarm dengan Bel Timer otomatis di suatu pabrik dengan tambahan alat yang disebut Alarm Mixer Detection. Untuk Informasi lebih lanjut dapat menghubungi : Office : ( 021) 7975465  Hp : 081219450524 WA : 085697946499            ","
              Jl. Warung Jati Timur Raya no. 69Hp : 081219450524 WA : 085697946499            ",Jakarta Selatan,DKI Jakarta,+62 856-9794-6499,None,None
Nayakanaya Sumber Teknika,"
                                    PREMIUM GOLD
                                ",Instalasi,"
              SPESIALIS – Pemasangan + Material Pagar Kawat Duri Rp 52.000, - / m1 Pagar Kawat Duri paling ekonomis dan sangat efektif memberikan perlindungan pada lingkungan property anda, seperti areal Pabrik, Pergudangan, Gedung Perkantoran, Kawasan Pertokoan, areal Perkebunan dari serangan hewan liar, dsb. Menyediakan dan Jasa Pemasangan berbagai macam Kawat Duri : Barbed Wire : Electrostatic Coated Galvanized & Hot Dipped Galvanized, Consertina Razor Wire : BTO-22, BTO-30, CBT-60 & CBT-65, danMaterial pelengkap lainnya ( Besi Siku, Clamp’ s, Bolt’ s, dsb) Menyediakan Desain standard, juga menerima desain yang diinginkan oleh pelanggan. Kualitas, Ketepatan Waktu & Murah Terjangkau adalah Prioritas kami dalam memberikan Pelayanan Terbaik Pada Pelanggan Kami Hubungi Kami : Telp. 021-4351570, HP. 0812 9846 8977 atau 0881 9938 274 (WA) E-mail : goenawansoegeng@yahoo.com  &  sugeng.gunawan74@gmail.com            ","
              JL Swasembada Barat XII, Kebon Bawang,  Tanjung Priok            ",Jakarta Utara,DKI Jakarta,+62 881-9938-274,None,None
