Name,Membership,Category,Description,Address,City,Province,telp1,telp2,telp3
PT. TRIPUTRA JAYA MAKMUR,"
PREMIUM RUBY
",Besi Pipa & Tabung,"
PT. TRIPUTRA JAYA MAKMUR General Supplier, Contractor & Sub-Contractor Sipil- Arsitektur - Mekanikal & Elektrikal. 
Mulai berkarya dalam bidang Perdagangan umum barang & Jasa untuk melayani infrastruktur di Kalimantan Timur sejak tahun 2005, berawal dengan nama CV. TRIPUTRA JAYA MAKMUR diresmikan pada tahun 2015 oleh Notaris Samarinda. Kemudian pada Tahun 2020, mendirikan perusahaan PT. TRIPUTRA JAYA MAKMUR.Kami menawarkan Jasa Kontraktor & Sub-kontraktor khusus wilayah Kalimantan dengan keterangan pekerjaan sebagai berikut :ARSITEKTUR 

Perumahan tunggal dan Koppel serta perawatannya.
Perumahan multi hunian beserta perawatannya.
Bangunan pergudangan dan industry beserta perawatannya
Bangunan komersial beserta perawatannya.
Bangunan non perumahan serta perawatannya.
Fasilitas pelatihan sport di luar gedung, tempat rekreasi serta perawatannya.
Pertamanan serta perawatannya.
Pemasangan aksesoris bangunan serta perawatannya.
Pekerjaan dinding dan jendela serta perawatannya.
Pekerjaan interior termasuk perawatannya.
Pengerjaan logam.
Pengerjaan kayu.
Pengerjaan bangunan dan gedung.
Pengerjaan Kaca & Aluminium.
Pengerjaan Aluminium Composite Panel

ELEKTRIKAL

Pembangkit tenaga listrik semua daya beserata perawatannya.
Pembangkit tenaga listrik dengan daya maksimal 10MW beserta perawatannya.
Jaringan transmisi tenaga listrik baru dan terbarukan beserta perawatannya.
Jaringan transmisi tenaga listrik tegangan tinggi dan ekstra tegangan.
Jaringan transmisi telekomunikasi serta perawatannya.
Instalasi kontrol dan instrumentasi serta perawatannya.
Instalasi listrik gedung dan pabrik serta perawatannya.
Instalasi listrik lainnya serta perawatannya.

 MEKANIKAL

Instalasi pemanasan, ventilasi udara dan AC serta perawatannya.
Perpipaan air dalam bangunan serta perawatannya.
Instalasi pipa gas dalam bangunan serta perawatannya.
Insulasi dalam bangunan serta perawatannya.
Instalasi lift dan escalator serta perawatannya.
Pertambangan dan manufaktur serta perawatannya.
Instalasi thermal, bertekanan, minyak, gas, pekerjaan rekayasa serta perawatannya.
Konstruksi alat angkut dan alat angkat serta perawatannya.
Konstruksi perpipaan minyak, gas, dan energy serta perawatannya.
Fasilitas produksi penyimpanan minyak dan gas serta perawatannya.
Jasa penyedia peralatan konstruksi.

 PEKERJAAN SIPIL

Jalan raya dan jalan lingkungan serta perawatannya.
Lapangan terbang dan runway serta perawatannya.
Jembatan serta perawatannya.
Terowongan serta perawatannya.
Jalan bawah tanah serta perawatannya.
Pelabuhan dan dermaga serta perawatannya.
Drainase kota serta perawatannya.
Bendungan serta perawatannya.
Irigasi dan drainase serta perawatannya.
Pengerukan dan pengurukan serta perawatannya.
Pekerjaan penghancuran.
Pekerjaan penyiapan dan pengupasan lahan.
Pekerjaan penggalian dan pemindahan.
Pekerjaan pemancangan.
Pekerjaan pondasi.
Pekerjaan kerangka atap serta perawatannya.
Pekerjaan pembetonan.
Pekerjaan konstruksi baja serta perawatannya.
Pekerja pelaksana khusus lainnya.

Untuk informasi lebih jelas, hubungi Marketing kami. Email : triputrajayamakmurindonesia@yahoo.com
  ","
              Head Office :Panin Tower 8th Floor Jl. Jenderal Sudirman No.7 Klandasan Ilir, Balikpapan.Branch Office :Jl. Brigjend Katamso No. 2A Samarinda. ", ,Kalimantan Timur,+62 858-4906-8419,+62 831-5376-6410,None
CV. JAYA MAKMUR ABADI,"
PREMIUM RUBY
",Besi Pipa & Tabung,"
CV. Jaya Makmur Abadi, perusahaan yang bergerak dibidang perdagangan umum Material Konstruksi & material lainnya, dan telah berpengalaman lebih dari 10 Tahun. 
Berdiri sejak Tahun 2005 dengan nama Jaya Makmur Abadi, dan diresmikan pada tahun 2010 oleh notaris Edward Agustin menjadi CV. Jaya Makmur Abadi. 
CV. Jaya Makmur Abadi bekerja sama dengan beberapa Pabrik & Distributor Material dan hingga kini sudah melayani lebih dari 900 pelanggan, yang terdiri dari pelanggan pribadi/perusahaan baik dari dalam & luar daerah di Indonesia. 
 
Visi & Misi : 


Menciptakan sistem perusahaan yang sistematis & fleksibel dalam hal pelayanan.
Menciptakan lapangan kerja & Sumber daya Manusia yang terampil, profesional& handal. 
Menciptakan pelayanan & kerjasama yang berkesinambungan dengan pelanggan.
Menjadi perusahaan multinasional yang dapat memberi sumbangsih terhadap perekonomian di Indonesia. 

CV. Jaya Makmur Abadi.General Supplier & Trading : Besi Beton & Baja. Rangka Baja Ringan & Atapnya.Aluminium Kusen Pintu & Jendela.Plywood & Kayu lainnya.Pipa Paralon & Pipa Lainnya. 
Keramik & Granit.Perlengkapan Sanitary. Aksesories Pintu & Jendela.
Segala jenis Kaca Bangunan.Aluminium Composite Panel.Kawat Baja & Besi. 
Karpet Import & VINYL. Kusen, Pintu & Jendela Kayu. Windows Fashion.Mekanikal Elektrikal.Meubelair Kantor & Sekolah.
Pipa HDPE.Pipa Air Panas.HPL.Cat.Pipa Gorong-Gorong.Plat Kapal.Dll.
Untuk melengkapi kebutuhan pelanggan, kami juga menyediakan Jasa Kontraktor, Jasa Arsitek & Jasa Konsultan.
Untuk informasi lebih jelas, dapat menghubungi Marketing kami.
Terima kasih. www.jayamakmurabadi.co.id
CV. Jaya Makmur Abadi 
Jl. Brigjend Katamso No. 2 Samarinda. Kalimantan Timur 75117.Telp : 0541-7802915Fax. : 0541-766315Email : sales@jayamakmurabadi.co.id
 

 
 ","
              Head Office :Jl. Brigjend Katamso No. 2. Samarinda. Kalimantan Timur ",Samarinda ,Kalimantan Timur,+62 823-5215-3244,+62 813-4942-8940,+62 852-4900-5619
CV. DUTA MESH,"
PREMIUM BLUE ONYX
",Besi Pipa & Tabung,"
              SIAPA KAMI merupakan salah satu perusahaan pembuatan pagar dan merupakan perusahaan publik yang bergerak pada industri agribisnis di indonesia. Kantor pusat kami berlokasi di Tangerang Indonesia, dimana fasilitas dan kegiatan operasional tidak hanya ada di Jakarta tetapi juga kami bergerak di beberapa daerah seperti keluar kota dan puklau yang memiliki potensial ekonomi seperti di jawa, sumatra, Kalimantan, sulawesi dan papua. Kegiatan bisnis bergerak di bidang agrabisnis yang meliputi pembuatan pagar brc, pagar harmonika, pagar trails dan sebagai distributor produk steel seperti pipa, pipa hollow, siku, besi beton, hbeam, iwf, plate dan lain lain KEUNTUNGAN KOMPETISI Secara keseluruhan mengerti sekali kesempatan dalam berkompetisi secara vertikal skala ekonomi prioritas. Dan menembus sistem operasi upstream dan downstream telah sanggup menjamin produk yang berkualitas di setiap bidang industri dari pabrik pagar BRC hingga tambahan produk-produk pagar lainnya. Perkembangan secara vertikal tetap memperhatikan Kwalitas pagar dan memudahkan perusahaan untuk menyalurkan produk-produknya secara kontinue dengan harga stabil, tanpa terpengaruh oleh fluktuasi dalam penyaluran dan permintaan secara berkelanjutan lebih jauh, hal tersebut terjadi karena secara keseluruhan, mampu menyediakan produk-produk yang secara spesifik dibutuhkan oleh konsumen, satu contoh kami telah sanggup Menyuplai hingga keluar kota skalipun untuk pemagaran perbatasan, kebun sawit, lapangan terbang bandara, perumahan pemagaran BTS tower seluruh Indonesia dll. anda bisa menghubungi marketing kontak kami di : Telepon : 021 29861696 Hp : 08127941128. MOTTO KAMI “ Berkembang Menuju Kesejahteraan Bersama“ adalah sesuatu yang benar untuk menjamin kesuksesan. Pusat dari kesuksesan perusahaan kami adalah kepercayaan yang kuat di dalam menjalin kerjasama yang baik berdasarkan kepercayaan dan pengakuan. • Dengan seluruh pemegang saham kami, dapat berperan aktif dalam mengembangkan kerjasama yang saling menguntungkan. • Dengan rekan bisnis            ","
              Office : Jln, Bhayangkara Raya No 10 ( Depan Kantor Puysdiklantas Polri )            ",Tangerang,Banten,+62 811-8889-128,None,None
PT Banyoe Atika Mandiri,"
                                    PREMIUM GOLD
                                ",Besi Pipa & Tabung,"
              Perusahaan Kami bergerak di bidang Industri Pengecoran logam :Kami Jual atau Supplier, cast iron, aluminium, kuningan dan stainless steel. Produk - produk yang di hasilkan di antaranya : manhole, grill, greating, dack drain, roof drain, floor drain, Grease Trap, dan juga Perusahaan Kami siap menerima pesanan khusus, dengan harga bersaing. Hubungi Kami : m : + 628118833662t : + 6221-22524647 f : + 6221-22524541 e : info@banyoe.co.id            ","
              RUKAN CBD BLOK C NO.75A GREEND LAKE CITY            ",Tangerang,Banten,+62 811-8833-662,None,None
PT. WITA KHARISMA JAYA BERSAMA ( Fire & Safety ),"
PREMIUM RUBY
",Besi Pipa & Tabung,"
PT.WITA KHARISMA JAYA BERSAMA adalah Perusahaan Fire & Safety Equipment, Fire Hydrant Installation dan Fire Alarm System. Kami Memproduksi Box Apar sekaligus Distributor Tabung Pemadam Kebakaran dan Mobil Pemadam Kebakaran serta Peralatan Safety yang berlokasi di Bekasi - Jawa Barat. Produk yang kami sediakan antara Lain : 
- Baju Pemadam Kebakaran
- Motor Pemadam Kebakaran 
- Mobil Pemadam Kebakaran
 - Tabung Pernafasan 
- Tabung Oksigen
 - Box Hydrant
 - Fire Monitor 
- Box Trolly 
- Box Kunci 
- Box Tabung Pemadam
- Tabung Pemadam Api 
- Sarung Tangan Safety 
- Sarung Tangan Tahan Panas 
- Helmet Pemadam 
- Kacamata Safety 
- Selang Pemadam Kebakaran 
- Nozzle Pemadam 
- Palu Untuk Box Apar 
- Kampak Pemadam 
- Tandu Lipat / Stretcher 
- Lemari Safety / Show Case 
- Fire Alarm System 
- Hydrant System.Contact Us : PT WITA KHARISMA JAYA BERSAMAJl. Cikunir Raya No. 62 Jakamulya - Bekasi Selatan 17146Phone : 021-82435884             081807847373             0851-00576760http//www.produsenboxapar.comhttp//www.wkjb.co.id  ","
              Jl. Cikunir Raya No.62, Jakamulya - Bekasi Selatan            ",Bekasi,Jawa Barat,+62 818-0784-7373,None,None
PT. Mandiri Niagamas Cemerlang,"
                                    PREMIUM GOLD
                                ",Besi Pipa & Tabung,"
PT. MANDIRI NIAGAMAS CEMERLANG adalah perusahan penyedia alat kebutuhan industri seperti :
 1. Gland Packing 2. Sheet Packing 3. Rubber Packing 4. Conveyor Belt 5. Industrial Machine 6. Machining 7. Heat Insulation 8. Rubber Lining 9. Casting 10. Mechanical Seal 11. Manufacturing 12. Elastomer Bearing Pad 13. Chemical Coal Additive 14. Heater Element 15. Pallet Kayu 16. Coarse River Aggregate ( Kerikil ) 17. Rubber Fender 18. Pressure Gauge 19. Vibrator 20. Valve 21. Handling Equipment 22. Bearing 23. Clutches & Breakes 24. Universal Joint & Cardan Shaft 25. Conveyor Chains 26. Chains 27. Pulley 28. Coupling 29. Gearbox & Wormgear 30. Gearmotor 31. Electric Motor 32. Control System 33. Hose 34. Slitter 35. Roll Conveyor 36. Pulley Conveyor 37. Pneumatic 38. HydraulicKami berkomitmen untuk memberikan pelayanan terbaik kepada semua klient kami dari setiap produk yang kami tawarkan.Contact Us :PT. MANDIRI NIAGAMAS CEMERLANGOffice     : Jl. Raya Cikarang - Cibarusah No 27, Lippo Cikarang – BekasiPhone     : 021 - 8990 0912Fax       : 021 – 8990 0912         Mobile    : 0812 8132 3388 // 0877 8913 6128Whatsapp : 0877 8913 6128Email     : mandiriniagamascemerlang@gmail.com ","
              Jl. Raya Cikarang - Cibarusah No. 27 , Lippo Cikarang - Bekasi            ",Bekasi,Jawa Barat,+62 877-8913-6128,None,None
CV Catur Jaya Atap,"
PREMIUM RUBY
",Besi Pipa & Tabung,"
              CV CATUR JAYA ATAP merupakan perusahaan yang bergerak dibidang produksi barang sebagai berikut:1. Pagar BRC2. Tiang pagar BRC3. Pintu swing tunggal/ganda4. Pintu dorong5. Spandek6. Kanal-C7. Reng8. Hollow 2x4 dan 4x49. Wall angelSelain produk diatas kami juga begerak di bidang trading dan supplier besi dan baja dengan produk sebagai berikut:1. WF, IWF, H-BEAM2. UNP3. CNP4. Siku5. Plat polos 6. Plat bordes7. Plat kapal8. Beton eser9. Plat strip10. Pipa gas11. Pipa air12. Hollow galvanis13. Kawat harmonika14. kawat duri dan kawat siletKepuasan customer adalah prioritas kami            ","
              Jl Putra Bangsa Anggaswangi Sukodono Sidoarjo            ",Surabaya,Jawa Timur,+82 33-806-5412,None,None
"DUA PUTRA PETIR, CV Telp. 0859-9805-8351 , 0898-3518-351 , 0821-3355-5559 , 0813-1845-5559","
PREMIUM RUBY
",Besi Pipa & Tabung,"
BISMILLAHIRROHMANIRROHIIM....CV. DUA PUTRA PETIR (Your Steel Partner) Distributor berbagai Merek Polycarbonate bergaransi 5-10 tahun yang dilengkapi Double Side UV Protected, diantaranya :1. Solar Flat Clear / Colour Plain / Embosed.2. Solar Tuff Roma / Greeca.3. X TUFF Roma dan Greeca (Colour / Clear).4. X Lite.5. SOLITE.6. Twinlite.7. Lexan.8. POLYBOARD.9. Sealent Neutral (Lem PolyCarbonate).10. Sealent Acetic (Lem PolyCarbonate).11. JASA PEMBUATAN CANOPY / PAGAR Sesuai Permintaan.HARGA DIJAMIN MURAH Untuk Info Lebih Lanjut Menghubungi,Demikian Penawaran dari kami, besar harapan kami untuk bisa bekerjasama dengan Anda dengan memberikan pelayanan yang terbaik penjelasan ringkas. Kami juga Bergerak dibidang trading Besi dan Baja dan alat-alat teknik, memiliki pengalaman yang mumpuni lebih dari 10 Tahun, link dan akses bisnis yang luas menjadikan kami harus terus berinovasi, salah satu melalui Bisnis Online seperti ini adapun produk-produk unggulan kami adalah :1. Carbon Steel Bars (Besi / Galvanis / Stainless Steel)• Besi Beton Polos (Plain Bars) • Besi Beton Ulir (Deformed Bars) • Besi As (Round Bars) Eq St. 41 • Besi As (Round Bars) Eq St. 60, St. 70, St. 90 • As Besi Segi Empat (Square Bars / Vierkan) • As Besi Segi Enam (Hexagonal Bars) (Besi / Galvanis / Stainless Steel) • Silver Steel-Hollow Bars-Tool Steel • Strep Besi (Flat Bars) • Band Eyzer (Strapping band Plates).2. Carbon Steel Pipes (Besi / Galvanis / Stainless Steel)• Pipa Baja Hitam (Black Steel Pipes) • Pipa Air / Galvanis (Galvanized Pipes) • Pipa Seamless (Seamless Pipes) ASTM A 53 / A 106 / API 5 L • Pipa Pancang (ERW Pipes) ASTM A 252 • Pipa Konstruksi STK-400 (Besi / Galvanis / Stainless Steel) • Pipa Perabot (Stalbuist Pipes) • Pipa Kotak (Rectangular & Square Pipes).3. Carbon Steel Plates (Besi / Galvanis / Stainless Steel)• Plat Besi Hitam (Hot Rolled Coil / Sheet) JIS SPHC / JIS SS400 / ASTM A36 • Plat Kapal (Ship Building Plate BKI) • Plat Besi Putih (Cold Rolled Coil / Sheet) JIS SPCC • Plat Bordes (Checkered Plate) • Plat Lubang (Perforated Plate) • Plat Tahan Gesek (Wear-Resistance Plate) • Plat Galvanil (Galvaneal) • Plat Galvanis (Galvanized) • Expanded Metal.4. Carbon Steel Profiles (Besi / Galvanis / Stainless Steel)• Siku Besi (Angle Bars) • Kanal UNP (U-Channel) • Kanal CNP (Lip-Channel) • (Besi / Galvanis / Stainless Steel) • H-Beam I-Beam WF-Beam (Besi / Galvanis / Stainless Steel) • Honey Comb • Plate Grating Galvanis • Kawat Bronjong • Plat Galvanis • Siku Galvanis • Gabion • Kawat Bronjong SNI, Straping Band, Plat Timah, dan masih banyak lagi produk-produk kami, segala macam jenis besi dan baja siap membantu bekerjasama dengan semua pelanggan baik dalam kota maupun luar kota atau bahkan luar pulau dan luar negeri. Terimakasih banyak.
 Hormat Kami,Herry Gusmara, S.Sos DirekturHP : 08599.805.8351 (BOS BESI) / 089.8351.8351 (BESI BESI)WA : 082133.555.559 / 081318.455.559 Email : duaputrapetir@gmail.comD/A : Bukit Plama C5/ 33 Citraland Utara SurabayaOur Website :• www.besi123.com• www.besisurabaya.com
• www.duaputrapetir.co.id• www.pusatbajaindonesia.com
• www.tokobangunansurabaya.com• www.jualbesibajasurabaya.indonetwork.co.id ","
              • Head Ofice : Bukit Palma C5/33 Citraland Utara Kec. Pakal Kota Surabaya Barat (Sememi - Benowo)• Phone : 0821-3355-5559 (Call/WhatsApp)            ",SURABAYA,Jawa Timur,None,None,None
CV Berdikari Lancar,"
PREMIUM RUBY
",Besi Pipa & Tabung,"
Berdikari Lancar Steel adalah perusahaan trading yang melayani penjualan segala jenis besi seperti Besi Beton , Wire Mesh , Plat , WF (wide flang) , Pipa besi , Hollow , Siku , UNP , Bendrat , Paku , dan lain sebagainya.
 
Area penjualan kami mencakup semua wilayah Indonesia, terutama Surabaya dan sekitar sebagai basis tempat kami berdomisili, hingga wilayah luar pulau seperti Makassar , Palu , Kupang , Mataram , Batu Licin , Kota Baru , Sampit , Balikpapan , Banjarmasin , Manado , Ambon , Maluku , Timika, Sorong , hingga Jayapura .
 
Untuk kwalitas dan mutu Besi yang kami jual disertai sertifikat sesuai standart SNI dan ISO certified. Untuk lebih meyakinkan bagi proyek yang akan segera berdiri dengan standart mutu yang tinggi.
 
Dan harga yang kami tawarkan sangat bersaing karena kami mendapat suplai langsung dari beragam pabrik dengan harga kontrak di bawah semua harga yang ditawarkan kepada anda.
 
Silahkan hubungi kami untuk informasi dan penawaran terbaik.
Untuk informasi lebih jelas dan penawaran yang terbaik, silahkan hubungi marketing kami:
Willy                HP/WA : 0823-3117-8001 // 0812 1288 7082 // 0822 3444 4535
 CV. BERDIKARI LANCAR
Perum Bukit Citra Darmo blok CD No. C-21 Klakahrejo - Benowo, Surabaya
Jawa timur, Indonesia - 60198
Telp : 031 - 7431220
Fax : 031 - 7431220
email: berdikarilancar@gmail.com ","
              Bukit Citra Darmo blok CD No. C-21Klakahrejo, Benowo - Surabaya            ",surabaya,Jawa Timur,+82 33-117-8001,081212887082,+82 2-3444-4535
CV MITRA USAHA MANDIRI,"
                                    PREMIUM GOLD
                                ",Besi Pipa & Tabung,"
              CV MITRA USAHA MANDIRI bergerak dalam bidang filter air yang mengolah air baku menjadi air siap minum, Pompa, Depo Air Minum Isi Ulang, AMDK, Mesin RO Reverse Osmosis, perlengkapan aksesoris kolam renang dan Tabung filter beserta aksesorisnya.Kami mengolah air baku menjadi air tawar :- Air Laut- Air Sumur- Air PDAM- Air Payau- Air Danau- Air Limbah dan sebagainya.Temukan berbagai produk terbaik kami sesuai kebutuhan anda. pastinya dengan kualitas dan harga terbaik yang anda bisa dapatkan.            ","
              Jl. Pucang Anom no.22, Surabaya.            ",Surabaya,Jawa Timur,+82 2-3333-4224,+62 812-3459-0404,None
