Name,Membership,Category,Description,Address,City,Province,telp1,telp2,telp3
zeropromosi,"
                                    PREMIUM GOLD
                                ",Eskalator & Lift,"
              Perkenalkan kami Zeropromosi.com merupakan penyedia aneka souvenir seperti: - souvenir kantor - souvenir ultah - souvenir pernikahan Produk kami terdiri dari flashdisk, payung, tumbler, pulpen, mug/gelas, powerbank, tali id card dan banyak lainnya Kami sudah berpengalaman dibidang barang promosi & souvenir dengan selalu memenuhi deadline yang ketat serta yang tidak kalah penting adalah HARGA KOMPETITIF. Min order 100pcsharga blm termasuk cetakJika ada yang belum jelas dan ingin ditanyakan bisa langsung menghubungi kami di:mkt 1 WA / Tlp : 0877 8186 7176mkt 2 WA / Tlp : 0877 8185 7176Email : zeropromosi@gmail.comLine : @zeropromosi (harus pake @)            ","
              Jl. Arcadia Daan Mogot Blok H7 No.16,  Batuceper, Kec. Batuceper, Kota Tangerang, Banten 15122, Indonesia            ",Tangerang,Banten,087781857176,087781867176,081808064176
PT. Mulya Natama Teknik,"
                                    PREMIUM GOLD
                                ",Eskalator & Lift,"

Kami PT. Mulya Natama Teknik specialist Polyrethane., Rubber Roll, Nylon, Teflon steinless, Alumunium Technical & Custome Product, bubut, hardchrome, spare part escalator, elevator, travolator dan Roda Forklift.
 ","
              Jl. Raya Regency 2, Blok AB.1 No.04Pasar Kemis, Tangerang-Banten            ",Tangerang,Banten,+62 812-9552-996,None,None
CV. BLATINDOPUTRA,"
                                    PREMIUM GOLD
                                ",Eskalator & Lift,"
              Perusahaan kami CV. Blatindoputra Utama merupakan perusahaan yg bergerak dibidang Supplier Industri. Kami sudah bekerjasama dengan beberapa perusahaan. Sehubungan dengan itu, kami bermaksud untuk menjadi supplier di perusahaan Bapak/ Ibu. Harapan kami, penawaran ini dapat terwujud dalam bentuk kerjasama sehingga dapat menguntungkan kedua belah pihak. Adapun produk yg akan kami sediakan adalah ( terlampir beberapa brosur produk) : 1. Material Handling Equipment • Hand Pallet Truck • Hand Trolley • Drum Handler dan Drum Porter • Stacker ( Manual, Semi Electric, dan Full Electric) • Hoist 2. Roda - Aneka Macam Roda 3. Filter • Filter Oli • Filter Udara • Filter Separator Air Oil 4. Tools            ","
              Plaza Merdeka (Harkot) JL. Merdeka Raya No. 53 Blok D7/ 2            ",Tangerang,Banten,None,None,None
PT. DENKO WAHANA SAKTI,"
PREMIUM BLUE ONYX
",Eskalator & Lift,"
              Welcome to PT Denko Wahana Sakti PT Denko Wahana Sakti didirikan pada Bulan November Tahun 1992. Berawal dari sebuah kantor di daerah Ketapang, Jakarta Pusat yang bergerak dalam bisnis penjualan Turbin Ventilator, Castor Wheel serta beberapa produk Material Handling PT Denko Wahana Sakti sebagai Holding Company dari DENKO GROUP melakukan ekspansi dengan menambah bidang bisnis penjualan yang baru dan membuka cabang yang di Kota Surabaya pada Tahun 1994, kemudian di Kota Bandung pada Tahun 1997 dengan nama PT Denko Wahana Prima. Dan PT. Denko Wahana Sakti Semarang berdiri pada tanggal 1 Mei 2008 untuk memenuhi kebutuhan produk-produk denko di area Jawa Tengah dan Yogyakarta Divisi Belden PT Denko Wahana Sakti merupakan Distributor berbagai jenis kabel dengan brand Belden yang merupakan brand terkemuka di pasar kabel saat ini. Kami menjual Kabel UTP Belden, rs485,rj45 dan rs232 Belden, Coaxial rg8 dan rg11, fiber optic belden, Patch Cord, Patch Panel, modular cat6 dan Face Plate dengan kantor di Jakarta, Surabaya dan Semarang ( melayani area Jawa Tengah dan daerah istimewa Yogyakarta ) Divisi Material Handling Kami juga menjual berbagai produk material handling seperti Hand Pallet Truck, Manual stacker, full electric stacker, electric pallet truck, aluminium work platform, drum porter, hand truck prestar, drum handler, drum tipper, drum gripper, trolly 3 susun, hand truck, pallet truck with scale, mini forklift, vertical lift, Hand truck, scissor lift, hand stacker full electric, hand stacker manual, hand drum lift, hand drum lift semi electric, lift table, trolly, tangga elektrik, turbine ventilator, semi electric stacker, hand pallet, tangga electric, hand stacker semi electric, forklift, pallet mesh, forklift, reach truck, pallet mover,electric tractor, towing dan hand pallet Divisi Dalton Tools Kami adalah distributor chainsaw, hand tool, Ladder, jack equipment, dustbin, gergaji pohon, mesin las, genset tiger, generator spakins, kunci pas, gergaji kayu, air compressor, welding machine, tang, mesin las inverter, kunci ring, engine water pump, mesin las, dongkrak botol, water pump, generator, genset , tong sampah, dongkrak buaya, bootle jack, floor jack, jack stand dan tangga Divisi Chastor Wheel Kami juga membantu anda untuk menyediakan roda trolley / chastor wheel berbagai tipe untuk kebutuhan industrial serta kebutuhan untuk roda scafolding, bed rumah sakit, troley supermarket, troley bandara dan laini-lainnya. Merk-merk terbaik yang kami sediakan diantara, Roda Nansin, Nippon, Star Rollen, Shengteng / STG, Shenpay, Sumo, Helver, Global dan Roda Triple-S. Divisi Turbin Ventilator Tersedia juga ditempat kami alat sirkulasi udara / turbin ventilator merk DENKO yang akan membantu mengeluarkan udara panas, kelembaban dan bau tidak sedap pada ruangan pabrik, ruangan produksi dan ruangan rumah anda. Menjadikan udara didalam ruangan pabrik, gudang dan rumah anda menjadi lebih nyaman dan segar. Kami telah membangun bisnis jangka panjang dengan pelanggan kami diseluruh Indonesia, jika anda tertarik dengan beberapa model dan tipe produk yang kami tawarkan didalam website ini, silahkan hubungi kami. Kami siap memberikan layanan konsultasi kepada anda, untuk memilih produk teknik berkualitas TERBAIK dengan harga yang TERMURAH dan tentunya bisa memenuhi kebutuhan anda saat ini. Terimakasih. PT DENKO WAHANA SAKTI Contact Person : Helmi Efendi, ST Office : Jalan Banjardowo Tengah Blok C No 8 Genuk, Semarang 50117, Jawa Tengah INDONESIA Fax : 024-76580141 Email 1 : pt_dws_semarang@yahoo.co.id Email 2 : helmi_effendi@denko.co.id Jam Kantor : Senin - Ju'mat : 08.00 - 17.00 Cara Pembayaran : Tunai, Pembayaran tempo bisa saja dilakukan bila kami telah survey ke tempat anda dan semuanya memenuhi kriteria yang kami telah tetapkan.            ","
              Jalan Banjardowo Tengah - Kompleks Industri Banjardowo Blok C No 8 Genuk, Semarang, Jawa Tengah INDONESIA            ",Semarang,Jawa Tengah,+62 812-3592-407,None,None
PT. Bintang Makmur Wiramandiri,"
PREMIUM RUBY
",Eskalator & Lift,"
PT. BINTANG MAKMUR WIRAMANDIRIAdalah perusahaan yang bergerak di bidang Jasa Kontraktor dan PerdaganganJasa Kontraktor meluputi Jasa Sipil (Renovasi dan New Building Hotel, Rumah, Kantor, Apartemen dan lainya)Jasa Non Sipil/Fabrikasi (Pembuatan Conveyor semua tipe Conveyor) dan Jasa Maitenance Mesin skup factory maupun office. Sedangkan untuk Bidang PerdaganganMeliputi Perdagangan Cutting Tools, seperti Pisau Bubut, Milling, Matabor, Endmill, Bearing dan lainyaPT. Bintang Makmur Mandiri Menyediakan juga mesin - mesin untuk kebutuhan Melting Furnace/Mesin Peleburan Aluminium dan menyediakan barang - barang kebutuhan sparepart mesinyang berhubungan dengan melting furnace. Pemegang Brand tunggal Strikowestofen German# mesin tungku peleburan aluminium, wadah peleburan ","
              Jl. Raya Setu No.147 Cibitung Bekasi            ",Bekasi,Jawa Barat,+62 813-1758-9536,None,None
Mitra Baru Gemilang,"
",Eskalator & Lift,"
              Mitra Baru Gemilang bergerak dibidang Engineering ( Mechanical, Electrical Contractors) seperti pembuatan Over Head Crane, Jib Crane, Table Lifter, Passanger/ Cargo Lift dan lain-lain. Perusahaan kami juga sebagai supplier untuk kebutuhan Technical Industri.            ","
              Jl. Bintara XI No.69, Bekasi Barat            ",Bekasi,Jawa Barat,None,None,None
KARYA UTAMA JAYATEKNIK,"
                                    PREMIUM GOLD
                                ",Eskalator & Lift,"
              Perusahaan kami menyediakan produk seperti :PneumaticHydraulic systemPerancangan dan fabrikasi peralatan industriScissor liftTable liftLoading dockJig fixturesUntuk informasi lainnya bisa hubungi kami            ","
              Jl. Raya kota Legenda No.78 Grandwisata, Tambun Selatan - Bekasi            ",Kabupaten Bekasi,Jawa Barat,+62 816-1478-543,None,None
JUAL BELI MOBIL TUA BEKAS,"
                                    PREMIUM GOLD
                                ",Eskalator & Lift,"
Selamat datang di pusat jual-beli mobil bekas / tua, kami siap menerima mobil anda dengan harga tinggi, dengan kondisi apa adanya. kondisi rusak patah atau rongsok, mati bertahun-tahun, bekas terbakar, bekas kecelakaan atau kebanjiran. lama nongkrong, surat lama mati / hilang, dll.Untuk Info Lengkap dan Koleksi Mobil kami hubungi Bpk. Alam
Mobile        : 0819 0533 4049
Whatsapp : 0819 0533 4049 ","
              Jl. Wibawa Mukti II No.100 Kp. Jatiluhur, Jatiasih            ",Bekasi,Jawa Barat,+62 819-0533-4049,None,None
CV KENCANA JAYA TEKNIK,"
                                    PREMIUM GOLD
                                ",Eskalator & Lift,"
CV KENCANA JAYA TEKNIK Kami bergerak di bidang Pabrikasi Mesin Pertanian, seperti Mesin Pengolahan Kelapa ( Mesin Parut Kelapa, Mesin Pemeras Santan Kelapa, Mesin Pengupas Sabut Kelapa, Mesin Pengurai Sabut Kelapa, Mesin Pengayak Sabut Kelapa, Mesin Press Sabut Kelapa, Mesin Pengupas dan Pencungkil Batok Kelapa) , Mesin Pengolahan Kopi  Mesin Pengupas Kopi Basah Mesin Pulper Kopi, Mesin Pengupas Kulit Kopi Mesin Huller Kopi Mesin Pengayak Kopi Mesin Sangrai Kopi, Mesin Pengering Kopi Box Dryer Kopi Mesin Penggiling Kopi Mesin Giling Biji Kopi Mesin Pembubuk Biji Kopi Mesin Pengolahan Kakao Mesin Pemecah Buah dan Pemisah Biji Kakao Mesin Pengupas dan Pemecah Kulit Ari Biji Kakao Mesin Pengempa Lemak Kakao Mesin Pengayak Kakao Mesin Sortasi Kakao Mesin Sangrai Kakao Mesin Penghalus Bungkil Coklat Mesin Pembubuk Coklat Mesin Pengayak Bubuk Coklat Mesin Mixer Bubuk Coklat Mesin Pemasta Coklat Halus Mesin Pemasta Coklat Kasar Mesin Pemasta Coklat Halus Roll Mesin Conching Coklat Mesin Pengolahan Kompos Mesin Pencacah Kompos Mesin Pengayak Kompos Mesin Mixer Kompos Mesin Granulator Kompos Mesin Granulator Pupuk Organik Mesin Pengering Kompos Mesin Rotary Dryer Kompos Cetak Kompos Manual Mesin Pengolahan Pakan Ternak Mesin Hammer Mill Mesin Mixer Pakan Ternak Mesin Pelet Pakan Ternak Mesin Oven Pengering Mesin Oven Pelet Mesin Pengering Pelet Mesin Cetak Pelet Kayu Dan Biomass Pelletizer Machine Mesin Press Batako Mesin Cetak Batako Mesin Paving Block Mesin Mixer Batako Mesin Mixer Bata Ringan Mesin Pengaduk Hebel Mesin Mixer Bata Ringan Mesin Crusher Briket Mesin Spinner Peniris Minyak Mesin Chopper Mesin Perajang Rumput Mesin Penghancur Limbah Plastik Mesin Perajang Limbah Plastik Mesin Pengayak Tepung Mesin Perajang Singkong Mesin Slicer Singkong Mesin Disk Mill Mesin Pelet Ikan Mesin Pencabut Bulu Ayam Mesin Pemotong Ayam Mesin Parting Mesin Pemipil Jagung Mesin Perontok Padi Mesin Power Thresher Mesin Parut Sagu Mesin Autoclave Sterilisasi Bibit Jamur Lemari Asam Germinator Mesin Penggiling Bumbu Kering Mesin Penggiling Bumbu Basah Mesin Pencacah Rumput Wood Crusher Mesin Penghancur Kayu Peralatan Sadap Getah Karet Alat Sadap Karet Alat Panet Karet Mesin Hand Mangel Karet Hand Mangel Karet Batik Hand Mangel Karet Polos Pisau Sadap Karet Mangkok Sadap Getah Kare, Loyang Pembeku Getah Karet Loyang Pembeku Lateks Bak Pembeku Getah Karet Cincin Mangkok Sadap Karet Kawat Mangkok Sadap Karet Ember Sadap Getah Karet Talang Sadap Getah Karet Batu Asah Pisau Sadap Bahan Pembeku Lateks Cairan Pembeku Getah Karet Pabrikasi Mesin Peralatan Jalan Mesin Marka Jalan Alat Marka Jalan Aplikator Marka Jalan Mesin Preheater Jalan Mesin Pemasak Dan Pengaduk Cat Marka Jalan Peralatan Mesin Industri Kami Memproduksi atau Supply Lemari Asam Fume Hood ","
              Jl. Raya Kalimurni Kencana Blok J No.6 Kota Bogor 16167            ",Bogor,Jawa Barat,+62 852-9229-4040,None,None
CV.changdong Indonesia,"
                                    PREMIUM GOLD
                                ",Eskalator & Lift,"
CV.Changdong Indonesia di dirikan pada tgl 05 Mei 2007, Tujuan didirikan perusahaan adalah memproduksi mesin-mesin pertanian, perkebunan, perikanan, Industri Kecil Menengah dan Usaha Kecil Menengah. demi mendukung percepatan pertumbuhan ekonomi masyarakat menengah kebawah serta membuka lapangan kerja baru. Pada saat ini, CV.Changdong Indonesia memproduksi mesin-mesin pertanian antara lain :
- Power Thresher- Mesin Pengurai Sabut Kelapa- Mesin Pencacah Sampah Organik ( APPO)- Mesin Press Kemasan Hidrolik- Mesin Pres Kemasa- Mesin Pencetak Pellet- Mesin Press Batako- Mesin Paving Blok Hidrolik- Mesin Pencacah Plastik- Mesin Granulator- Mesin Press Bata Merah- Mesin Mixer- Mesin Pirolisis Arang- Mesin Gongsengan Kopi- Mesin Pemipil Jagung- Mesin Hammer Mill atau Penghalus Jagung- Dan masih banyak yang lainnya
Lokasi CV. Changdong Indonesia terletak di Jl. Gondang No.13 RT 01/RW 10 Kecamatan Mustika Jaya, Kota Bekasi -Jawa Barat  CV. Changdong Indonesia memilih bahan baku seperti Plat Mild steel, Kanal UNP, Plat Strip dan Besi Beton, Stainless steel dengan memilih kualitas yang baik. Dan kami juga menerima segala permintaan bahan baku dari setiap costumer kami. Didukung pula oleh Teknisi yang berpengalaman dan terlatih. Pada saat ini CV.Changdong Indonesia menghasilkan produk dan kapasitas disesuaikan dengan permintaan pasar. Konsumen CV.Changdong Indonesia adalah Petani, Pengusaha, Pemerintahan, Swasta dan Rekanan dari pemerintahan di seluruh Indonesia. Visi CV. ChangdongIndonesia: “ Mengutamakan kepuasan pelanggan atas layanan kami ” Misi CV. Changdong Indonesia : “ Meningkatkan mutu dan kualitas, Efisiensi yang ramah lingkungan ”Untuk Informasi Lebih Lanjut Hubungi
CV Changdong IndonesiaJl. Gondang No.13, RT 01/RW10 KecamatanMustika Jaya,Kota Bekasi -  Jawa Barat 17158Hp : 085287938886 - 081280097909 - 08788728889
 ","
              JL. Gondang No.13 Kec Mustika Jaya Kota Bekasi -  Jawa Barat             ",Bekasi,Jawa Barat,+62 852-8793-8886,None,None
